MODELLING_ERA5_KWH;START_DATETIME
0;2024-01-01 00:00:00+00:00
0;2024-01-01 01:00:00+00:00
0;2024-01-01 02:00:00+00:00
0;2024-01-01 03:00:00+00:00
0;2024-01-01 04:00:00+00:00
0;2024-01-01 05:00:00+00:00
0;2024-01-01 06:00:00+00:00
0.004089825;2024-01-01 07:00:00+00:00
0.325844171;2024-01-01 08:00:00+00:00
0.386653509;2024-01-01 09:00:00+00:00
0.342367189;2024-01-01 10:00:00+00:00
0.243395954;2024-01-01 11:00:00+00:00
0.197427922;2024-01-01 12:00:00+00:00
0.1073688;2024-01-01 13:00:00+00:00
0.048568663;2024-01-01 14:00:00+00:00
0.055931476;2024-01-01 15:00:00+00:00
0;2024-01-01 16:00:00+00:00
0;2024-01-01 17:00:00+00:00
0;2024-01-01 18:00:00+00:00
0;2024-01-01 19:00:00+00:00
0;2024-01-01 20:00:00+00:00
0;2024-01-01 21:00:00+00:00
0;2024-01-01 22:00:00+00:00
0;2024-01-01 23:00:00+00:00
0;2024-01-02 00:00:00+00:00
0;2024-01-02 01:00:00+00:00
0;2024-01-02 02:00:00+00:00
0;2024-01-02 03:00:00+00:00
0;2024-01-02 04:00:00+00:00
0;2024-01-02 05:00:00+00:00
0;2024-01-02 06:00:00+00:00
0;2024-01-02 07:00:00+00:00
0.009241878;2024-01-02 08:00:00+00:00
0.018378774;2024-01-02 09:00:00+00:00
0.047907202;2024-01-02 10:00:00+00:00
0.046326512;2024-01-02 11:00:00+00:00
0.035455229;2024-01-02 12:00:00+00:00
0.027805041;2024-01-02 13:00:00+00:00
0.006358633;2024-01-02 14:00:00+00:00
0;2024-01-02 15:00:00+00:00
0;2024-01-02 16:00:00+00:00
0;2024-01-02 17:00:00+00:00
0;2024-01-02 18:00:00+00:00
0;2024-01-02 19:00:00+00:00
0;2024-01-02 20:00:00+00:00
0;2024-01-02 21:00:00+00:00
0;2024-01-02 22:00:00+00:00
0;2024-01-02 23:00:00+00:00
0;2024-01-03 00:00:00+00:00
0;2024-01-03 01:00:00+00:00
0;2024-01-03 02:00:00+00:00
0;2024-01-03 03:00:00+00:00
0;2024-01-03 04:00:00+00:00
0;2024-01-03 05:00:00+00:00
0;2024-01-03 06:00:00+00:00
0.001702505;2024-01-03 07:00:00+00:00
0.219622435;2024-01-03 08:00:00+00:00
0.197143808;2024-01-03 09:00:00+00:00
0.092537136;2024-01-03 10:00:00+00:00
0.094528807;2024-01-03 11:00:00+00:00
0.127279675;2024-01-03 12:00:00+00:00
0.131888143;2024-01-03 13:00:00+00:00
0.060417778;2024-01-03 14:00:00+00:00
0.00124366;2024-01-03 15:00:00+00:00
0;2024-01-03 16:00:00+00:00
0;2024-01-03 17:00:00+00:00
0;2024-01-03 18:00:00+00:00
0;2024-01-03 19:00:00+00:00
0;2024-01-03 20:00:00+00:00
0;2024-01-03 21:00:00+00:00
0;2024-01-03 22:00:00+00:00
0;2024-01-03 23:00:00+00:00
0;2024-01-04 00:00:00+00:00
0;2024-01-04 01:00:00+00:00
0;2024-01-04 02:00:00+00:00
0;2024-01-04 03:00:00+00:00
0;2024-01-04 04:00:00+00:00
0;2024-01-04 05:00:00+00:00
0;2024-01-04 06:00:00+00:00
0.001065319;2024-01-04 07:00:00+00:00
0.032400587;2024-01-04 08:00:00+00:00
0.076022964;2024-01-04 09:00:00+00:00
0.173515358;2024-01-04 10:00:00+00:00
0.33062803;2024-01-04 11:00:00+00:00
0.334099865;2024-01-04 12:00:00+00:00
0.151687624;2024-01-04 13:00:00+00:00
0.071783701;2024-01-04 14:00:00+00:00
0.004335135;2024-01-04 15:00:00+00:00
0;2024-01-04 16:00:00+00:00
0;2024-01-04 17:00:00+00:00
0;2024-01-04 18:00:00+00:00
0;2024-01-04 19:00:00+00:00
0;2024-01-04 20:00:00+00:00
0;2024-01-04 21:00:00+00:00
0;2024-01-04 22:00:00+00:00
0;2024-01-04 23:00:00+00:00
0;2024-01-05 00:00:00+00:00
0;2024-01-05 01:00:00+00:00
0;2024-01-05 02:00:00+00:00
0;2024-01-05 03:00:00+00:00
0;2024-01-05 04:00:00+00:00
0;2024-01-05 05:00:00+00:00
0;2024-01-05 06:00:00+00:00
0.003837558;2024-01-05 07:00:00+00:00
0.171338001;2024-01-05 08:00:00+00:00
0.160112761;2024-01-05 09:00:00+00:00
0.19199425;2024-01-05 10:00:00+00:00
0.200529115;2024-01-05 11:00:00+00:00
0.135631309;2024-01-05 12:00:00+00:00
0.075384427;2024-01-05 13:00:00+00:00
0.043196494;2024-01-05 14:00:00+00:00
0.000939266;2024-01-05 15:00:00+00:00
0;2024-01-05 16:00:00+00:00
