MODELLING_ERA5_KWH;START_DATETIME
0;2024-01-01 00:00:00+00:00
0;2024-01-01 01:00:00+00:00
0;2024-01-01 02:00:00+00:00
0;2024-01-01 03:00:00+00:00
0;2024-01-01 04:00:00+00:00
0;2024-01-01 05:00:00+00:00
0;2024-01-01 06:00:00+00:00
0.003048672;2024-01-01 07:00:00+00:00
0.336487198;2024-01-01 08:00:00+00:00
0.292211535;2024-01-01 09:00:00+00:00
0.22463014;2024-01-01 10:00:00+00:00
0.139607052;2024-01-01 11:00:00+00:00
0.067179759;2024-01-01 12:00:00+00:00
0.049862445;2024-01-01 13:00:00+00:00
0.009432121;2024-01-01 14:00:00+00:00
0;2024-01-01 15:00:00+00:00
0;2024-01-01 16:00:00+00:00
0;2024-01-01 17:00:00+00:00
0;2024-01-01 18:00:00+00:00
0;2024-01-01 19:00:00+00:00
0;2024-01-01 20:00:00+00:00
0;2024-01-01 21:00:00+00:00
0;2024-01-01 22:00:00+00:00
0;2024-01-01 23:00:00+00:00
0;2024-01-02 00:00:00+00:00
0;2024-01-02 01:00:00+00:00
0;2024-01-02 02:00:00+00:00
0;2024-01-02 03:00:00+00:00
0;2024-01-02 04:00:00+00:00
0;2024-01-02 05:00:00+00:00
0;2024-01-02 06:00:00+00:00
0;2024-01-02 07:00:00+00:00
0.02402403;2024-01-02 08:00:00+00:00
0.027107348;2024-01-02 09:00:00+00:00
0.031414837;2024-01-02 10:00:00+00:00
0.024049688;2024-01-02 11:00:00+00:00
0.021146028;2024-01-02 12:00:00+00:00
0.006088716;2024-01-02 13:00:00+00:00
0;2024-01-02 14:00:00+00:00
0;2024-01-02 15:00:00+00:00
0;2024-01-02 16:00:00+00:00
0;2024-01-02 17:00:00+00:00
0;2024-01-02 18:00:00+00:00
0;2024-01-02 19:00:00+00:00
0;2024-01-02 20:00:00+00:00
0;2024-01-02 21:00:00+00:00
0;2024-01-02 22:00:00+00:00
0;2024-01-02 23:00:00+00:00
0;2024-01-03 00:00:00+00:00
0;2024-01-03 01:00:00+00:00
0;2024-01-03 02:00:00+00:00
0;2024-01-03 03:00:00+00:00
0;2024-01-03 04:00:00+00:00
0;2024-01-03 05:00:00+00:00
0;2024-01-03 06:00:00+00:00
0;2024-01-03 07:00:00+00:00
0.019612134;2024-01-03 08:00:00+00:00
0.069500847;2024-01-03 09:00:00+00:00
0.095629726;2024-01-03 10:00:00+00:00
0.103037502;2024-01-03 11:00:00+00:00
0.066201685;2024-01-03 12:00:00+00:00
0.027179193;2024-01-03 13:00:00+00:00
0.004210683;2024-01-03 14:00:00+00:00
0;2024-01-03 15:00:00+00:00
0;2024-01-03 16:00:00+00:00
0;2024-01-03 17:00:00+00:00
0;2024-01-03 18:00:00+00:00
0;2024-01-03 19:00:00+00:00
0;2024-01-03 20:00:00+00:00
0;2024-01-03 21:00:00+00:00
0;2024-01-03 22:00:00+00:00
0;2024-01-03 23:00:00+00:00
0;2024-01-04 00:00:00+00:00
0;2024-01-04 01:00:00+00:00
0;2024-01-04 02:00:00+00:00
0;2024-01-04 03:00:00+00:00
0;2024-01-04 04:00:00+00:00
0;2024-01-04 05:00:00+00:00
0;2024-01-04 06:00:00+00:00
0;2024-01-04 07:00:00+00:00
0.014643822;2024-01-04 08:00:00+00:00
0.040104329;2024-01-04 09:00:00+00:00
0.042923705;2024-01-04 10:00:00+00:00
0.063601032;2024-01-04 11:00:00+00:00
0.056685021;2024-01-04 12:00:00+00:00
0.030900649;2024-01-04 13:00:00+00:00
0.007231162;2024-01-04 14:00:00+00:00
0;2024-01-04 15:00:00+00:00
0;2024-01-04 16:00:00+00:00
0;2024-01-04 17:00:00+00:00
0;2024-01-04 18:00:00+00:00
0;2024-01-04 19:00:00+00:00
0;2024-01-04 20:00:00+00:00
0;2024-01-04 21:00:00+00:00
0;2024-01-04 22:00:00+00:00
0;2024-01-04 23:00:00+00:00
0;2024-01-05 00:00:00+00:00
0;2024-01-05 01:00:00+00:00
0;2024-01-05 02:00:00+00:00
0;2024-01-05 03:00:00+00:00
0;2024-01-05 04:00:00+00:00
0;2024-01-05 05:00:00+00:00
0;2024-01-05 06:00:00+00:00
0;2024-01-05 07:00:00+00:00
0.026483618;2024-01-05 08:00:00+00:00
0.017300437;2024-01-05 09:00:00+00:00
0.017166208;2024-01-05 10:00:00+00:00
0.021871984;2024-01-05 11:00:00+00:00
0.036717466;2024-01-05 12:00:00+00:00
0.030377195;2024-01-05 13:00:00+00:00
0.004135238;2024-01-05 14:00:00+00:00
0;2024-01-05 15:00:00+00:00
0;2024-01-05 16:00:00+00:00
0;2024-01-05 17:00:00+00:00
0;2024-01-05 18:00:00+00:00
