MODELLING_ERA5_KWH;START_DATETIME
0;2024-01-01 00:00:00+00:00
0;2024-01-01 01:00:00+00:00
0;2024-01-01 02:00:00+00:00
0;2024-01-01 03:00:00+00:00
0;2024-01-01 04:00:00+00:00
0;2024-01-01 05:00:00+00:00
0;2024-01-01 06:00:00+00:00
0;2024-01-01 07:00:00+00:00
0.019605872;2024-01-01 08:00:00+00:00
0.023625211;2024-01-01 09:00:00+00:00
0.13083565;2024-01-01 10:00:00+00:00
0.172650243;2024-01-01 11:00:00+00:00
0.159256164;2024-01-01 12:00:00+00:00
0.106035651;2024-01-01 13:00:00+00:00
0.050802111;2024-01-01 14:00:00+00:00
0;2024-01-01 15:00:00+00:00
0;2024-01-01 16:00:00+00:00
0;2024-01-01 17:00:00+00:00
0;2024-01-01 18:00:00+00:00
0;2024-01-01 19:00:00+00:00
0;2024-01-01 20:00:00+00:00
0;2024-01-01 21:00:00+00:00
0;2024-01-01 22:00:00+00:00
0;2024-01-01 23:00:00+00:00
0;2024-01-02 00:00:00+00:00
0;2024-01-02 01:00:00+00:00
0;2024-01-02 02:00:00+00:00
0;2024-01-02 03:00:00+00:00
0;2024-01-02 04:00:00+00:00
0;2024-01-02 05:00:00+00:00
0;2024-01-02 06:00:00+00:00
0;2024-01-02 07:00:00+00:00
0.004847313;2024-01-02 08:00:00+00:00
0.010002056;2024-01-02 09:00:00+00:00
0.029762132;2024-01-02 10:00:00+00:00
0.014901703;2024-01-02 11:00:00+00:00
0.012375285;2024-01-02 12:00:00+00:00
0.003914243;2024-01-02 13:00:00+00:00
0;2024-01-02 14:00:00+00:00
0;2024-01-02 15:00:00+00:00
0;2024-01-02 16:00:00+00:00
0;2024-01-02 17:00:00+00:00
0;2024-01-02 18:00:00+00:00
0;2024-01-02 19:00:00+00:00
0;2024-01-02 20:00:00+00:00
0;2024-01-02 21:00:00+00:00
0;2024-01-02 22:00:00+00:00
0;2024-01-02 23:00:00+00:00
0;2024-01-03 00:00:00+00:00
0;2024-01-03 01:00:00+00:00
0;2024-01-03 02:00:00+00:00
0;2024-01-03 03:00:00+00:00
0;2024-01-03 04:00:00+00:00
0;2024-01-03 05:00:00+00:00
0;2024-01-03 06:00:00+00:00
0;2024-01-03 07:00:00+00:00
0.007532833;2024-01-03 08:00:00+00:00
0.057753625;2024-01-03 09:00:00+00:00
0.1821467;2024-01-03 10:00:00+00:00
0.138878622;2024-01-03 11:00:00+00:00
0.080009746;2024-01-03 12:00:00+00:00
0.066230268;2024-01-03 13:00:00+00:00
0.030184833;2024-01-03 14:00:00+00:00
0;2024-01-03 15:00:00+00:00
0;2024-01-03 16:00:00+00:00
0;2024-01-03 17:00:00+00:00
0;2024-01-03 18:00:00+00:00
0;2024-01-03 19:00:00+00:00
0;2024-01-03 20:00:00+00:00
0;2024-01-03 21:00:00+00:00
0;2024-01-03 22:00:00+00:00
0;2024-01-03 23:00:00+00:00
0;2024-01-04 00:00:00+00:00
0;2024-01-04 01:00:00+00:00
0;2024-01-04 02:00:00+00:00
0;2024-01-04 03:00:00+00:00
0;2024-01-04 04:00:00+00:00
0;2024-01-04 05:00:00+00:00
0;2024-01-04 06:00:00+00:00
0;2024-01-04 07:00:00+00:00
0.017890535;2024-01-04 08:00:00+00:00
0.054873804;2024-01-04 09:00:00+00:00
0.065347623;2024-01-04 10:00:00+00:00
0.050047178;2024-01-04 11:00:00+00:00
0.111049998;2024-01-04 12:00:00+00:00
0.09075257;2024-01-04 13:00:00+00:00
0.058076633;2024-01-04 14:00:00+00:00
0.001281968;2024-01-04 15:00:00+00:00
0;2024-01-04 16:00:00+00:00
0;2024-01-04 17:00:00+00:00
0;2024-01-04 18:00:00+00:00
0;2024-01-04 19:00:00+00:00
0;2024-01-04 20:00:00+00:00
0;2024-01-04 21:00:00+00:00
0;2024-01-04 22:00:00+00:00
0;2024-01-04 23:00:00+00:00
0;2024-01-05 00:00:00+00:00
0;2024-01-05 01:00:00+00:00
0;2024-01-05 02:00:00+00:00
0;2024-01-05 03:00:00+00:00
0;2024-01-05 04:00:00+00:00
0;2024-01-05 05:00:00+00:00
0;2024-01-05 06:00:00+00:00
0;2024-01-05 07:00:00+00:00
0.0312669;2024-01-05 08:00:00+00:00
0.08661128;2024-01-05 09:00:00+00:00
0.073408901;2024-01-05 10:00:00+00:00
0.075803421;2024-01-05 11:00:00+00:00
0.103780076;2024-01-05 12:00:00+00:00
0.042702301;2024-01-05 13:00:00+00:00
0.024981743;2024-01-05 14:00:00+00:00
0;2024-01-05 15:00:00+00:00
0;2024-01-05 16:00:00+00:00
0;2024-01-05 17:00:00+00:00
0;2024-01-05 18:00:00+00:00
