MODELLING_ERA5_KWH;START_DATETIME
0;2024-01-01 00:00:00+00:00
0;2024-01-01 01:00:00+00:00
0;2024-01-01 02:00:00+00:00
0;2024-01-01 03:00:00+00:00
0;2024-01-01 04:00:00+00:00
0;2024-01-01 05:00:00+00:00
0;2024-01-01 06:00:00+00:00
0;2024-01-01 07:00:00+00:00
0.015913587;2024-01-01 08:00:00+00:00
0.13949743;2024-01-01 09:00:00+00:00
0.087535205;2024-01-01 10:00:00+00:00
0.101930628;2024-01-01 11:00:00+00:00
0.139722571;2024-01-01 12:00:00+00:00
0.098441094;2024-01-01 13:00:00+00:00
0.041321404;2024-01-01 14:00:00+00:00
0.002178725;2024-01-01 15:00:00+00:00
0;2024-01-01 16:00:00+00:00
0;2024-01-01 17:00:00+00:00
0;2024-01-01 18:00:00+00:00
0;2024-01-01 19:00:00+00:00
0;2024-01-01 20:00:00+00:00
0;2024-01-01 21:00:00+00:00
0;2024-01-01 22:00:00+00:00
0;2024-01-01 23:00:00+00:00
0;2024-01-02 00:00:00+00:00
0;2024-01-02 01:00:00+00:00
0;2024-01-02 02:00:00+00:00
0;2024-01-02 03:00:00+00:00
0;2024-01-02 04:00:00+00:00
0;2024-01-02 05:00:00+00:00
0;2024-01-02 06:00:00+00:00
0;2024-01-02 07:00:00+00:00
0.002430943;2024-01-02 08:00:00+00:00
0.009961816;2024-01-02 09:00:00+00:00
0.013369205;2024-01-02 10:00:00+00:00
0.021401222;2024-01-02 11:00:00+00:00
0.00931556;2024-01-02 12:00:00+00:00
0.013014478;2024-01-02 13:00:00+00:00
0.003095886;2024-01-02 14:00:00+00:00
0;2024-01-02 15:00:00+00:00
0;2024-01-02 16:00:00+00:00
0;2024-01-02 17:00:00+00:00
0;2024-01-02 18:00:00+00:00
0;2024-01-02 19:00:00+00:00
0;2024-01-02 20:00:00+00:00
0;2024-01-02 21:00:00+00:00
0;2024-01-02 22:00:00+00:00
0;2024-01-02 23:00:00+00:00
0;2024-01-03 00:00:00+00:00
0;2024-01-03 01:00:00+00:00
0;2024-01-03 02:00:00+00:00
0;2024-01-03 03:00:00+00:00
0;2024-01-03 04:00:00+00:00
0;2024-01-03 05:00:00+00:00
0;2024-01-03 06:00:00+00:00
0;2024-01-03 07:00:00+00:00
0.075201291;2024-01-03 08:00:00+00:00
0.115645812;2024-01-03 09:00:00+00:00
0.067083015;2024-01-03 10:00:00+00:00
0.085483167;2024-01-03 11:00:00+00:00
0.074914131;2024-01-03 12:00:00+00:00
0.102028973;2024-01-03 13:00:00+00:00
0.042312665;2024-01-03 14:00:00+00:00
0;2024-01-03 15:00:00+00:00
0;2024-01-03 16:00:00+00:00
0;2024-01-03 17:00:00+00:00
0;2024-01-03 18:00:00+00:00
0;2024-01-03 19:00:00+00:00
0;2024-01-03 20:00:00+00:00
0;2024-01-03 21:00:00+00:00
0;2024-01-03 22:00:00+00:00
0;2024-01-03 23:00:00+00:00
0;2024-01-04 00:00:00+00:00
0;2024-01-04 01:00:00+00:00
0;2024-01-04 02:00:00+00:00
0;2024-01-04 03:00:00+00:00
0;2024-01-04 04:00:00+00:00
0;2024-01-04 05:00:00+00:00
0;2024-01-04 06:00:00+00:00
0;2024-01-04 07:00:00+00:00
0.046041622;2024-01-04 08:00:00+00:00
0.095478427;2024-01-04 09:00:00+00:00
0.284020947;2024-01-04 10:00:00+00:00
0.331140075;2024-01-04 11:00:00+00:00
0.148110874;2024-01-04 12:00:00+00:00
0.097376024;2024-01-04 13:00:00+00:00
0.066765737;2024-01-04 14:00:00+00:00
0.005301961;2024-01-04 15:00:00+00:00
0;2024-01-04 16:00:00+00:00
0;2024-01-04 17:00:00+00:00
0;2024-01-04 18:00:00+00:00
0;2024-01-04 19:00:00+00:00
0;2024-01-04 20:00:00+00:00
0;2024-01-04 21:00:00+00:00
0;2024-01-04 22:00:00+00:00
0;2024-01-04 23:00:00+00:00
0;2024-01-05 00:00:00+00:00
0;2024-01-05 01:00:00+00:00
0;2024-01-05 02:00:00+00:00
0;2024-01-05 03:00:00+00:00
0;2024-01-05 04:00:00+00:00
0;2024-01-05 05:00:00+00:00
0;2024-01-05 06:00:00+00:00
0;2024-01-05 07:00:00+00:00
0.018338331;2024-01-05 08:00:00+00:00
0.047991699;2024-01-05 09:00:00+00:00
0.068259386;2024-01-05 10:00:00+00:00
0.128144962;2024-01-05 11:00:00+00:00
0.18890475;2024-01-05 12:00:00+00:00
0.137751481;2024-01-05 13:00:00+00:00
0.064230839;2024-01-05 14:00:00+00:00
0.006011347;2024-01-05 15:00:00+00:00
0;2024-01-05 16:00:00+00:00
0;2024-01-05 17:00:00+00:00
0;2024-01-05 18:00:00+00:00
