MODELLING_ERA5_KWH;START_DATETIME
0;2024-01-01 00:00:00+00:00
0;2024-01-01 01:00:00+00:00
0;2024-01-01 02:00:00+00:00
0;2024-01-01 03:00:00+00:00
0;2024-01-01 04:00:00+00:00
0;2024-01-01 05:00:00+00:00
0;2024-01-01 06:00:00+00:00
0.008528896;2024-01-01 07:00:00+00:00
0.294042807;2024-01-01 08:00:00+00:00
0.345499719;2024-01-01 09:00:00+00:00
0.281361713;2024-01-01 10:00:00+00:00
0.210569953;2024-01-01 11:00:00+00:00
0.155429279;2024-01-01 12:00:00+00:00
0.085621911;2024-01-01 13:00:00+00:00
0.018618024;2024-01-01 14:00:00+00:00
0;2024-01-01 15:00:00+00:00
0;2024-01-01 16:00:00+00:00
0;2024-01-01 17:00:00+00:00
0;2024-01-01 18:00:00+00:00
0;2024-01-01 19:00:00+00:00
0;2024-01-01 20:00:00+00:00
0;2024-01-01 21:00:00+00:00
0;2024-01-01 22:00:00+00:00
0;2024-01-01 23:00:00+00:00
0;2024-01-02 00:00:00+00:00
0;2024-01-02 01:00:00+00:00
0;2024-01-02 02:00:00+00:00
0;2024-01-02 03:00:00+00:00
0;2024-01-02 04:00:00+00:00
0;2024-01-02 05:00:00+00:00
0;2024-01-02 06:00:00+00:00
0;2024-01-02 07:00:00+00:00
0.009937998;2024-01-02 08:00:00+00:00
0.014703336;2024-01-02 09:00:00+00:00
0.028490047;2024-01-02 10:00:00+00:00
0.028719514;2024-01-02 11:00:00+00:00
0.018397195;2024-01-02 12:00:00+00:00
0.007263068;2024-01-02 13:00:00+00:00
0;2024-01-02 14:00:00+00:00
0;2024-01-02 15:00:00+00:00
0;2024-01-02 16:00:00+00:00
0;2024-01-02 17:00:00+00:00
0;2024-01-02 18:00:00+00:00
0;2024-01-02 19:00:00+00:00
0;2024-01-02 20:00:00+00:00
0;2024-01-02 21:00:00+00:00
0;2024-01-02 22:00:00+00:00
0;2024-01-02 23:00:00+00:00
0;2024-01-03 00:00:00+00:00
0;2024-01-03 01:00:00+00:00
0;2024-01-03 02:00:00+00:00
0;2024-01-03 03:00:00+00:00
0;2024-01-03 04:00:00+00:00
0;2024-01-03 05:00:00+00:00
0;2024-01-03 06:00:00+00:00
0.007272221;2024-01-03 07:00:00+00:00
0.202642673;2024-01-03 08:00:00+00:00
0.28976948;2024-01-03 09:00:00+00:00
0.378767523;2024-01-03 10:00:00+00:00
0.16131486;2024-01-03 11:00:00+00:00
0.052184072;2024-01-03 12:00:00+00:00
0.040922809;2024-01-03 13:00:00+00:00
0.01990058;2024-01-03 14:00:00+00:00
0;2024-01-03 15:00:00+00:00
0;2024-01-03 16:00:00+00:00
0;2024-01-03 17:00:00+00:00
0;2024-01-03 18:00:00+00:00
0;2024-01-03 19:00:00+00:00
0;2024-01-03 20:00:00+00:00
0;2024-01-03 21:00:00+00:00
0;2024-01-03 22:00:00+00:00
0;2024-01-03 23:00:00+00:00
0;2024-01-04 00:00:00+00:00
0;2024-01-04 01:00:00+00:00
0;2024-01-04 02:00:00+00:00
0;2024-01-04 03:00:00+00:00
0;2024-01-04 04:00:00+00:00
0;2024-01-04 05:00:00+00:00
0;2024-01-04 06:00:00+00:00
0.000159925;2024-01-04 07:00:00+00:00
0.036037146;2024-01-04 08:00:00+00:00
0.054108712;2024-01-04 09:00:00+00:00
0.072507728;2024-01-04 10:00:00+00:00
0.114856045;2024-01-04 11:00:00+00:00
0.068185613;2024-01-04 12:00:00+00:00
0.032016889;2024-01-04 13:00:00+00:00
0.007653246;2024-01-04 14:00:00+00:00
0;2024-01-04 15:00:00+00:00
0;2024-01-04 16:00:00+00:00
0;2024-01-04 17:00:00+00:00
0;2024-01-04 18:00:00+00:00
0;2024-01-04 19:00:00+00:00
0;2024-01-04 20:00:00+00:00
0;2024-01-04 21:00:00+00:00
0;2024-01-04 22:00:00+00:00
0;2024-01-04 23:00:00+00:00
0;2024-01-05 00:00:00+00:00
0;2024-01-05 01:00:00+00:00
0;2024-01-05 02:00:00+00:00
0;2024-01-05 03:00:00+00:00
0;2024-01-05 04:00:00+00:00
0;2024-01-05 05:00:00+00:00
0;2024-01-05 06:00:00+00:00
0.002044135;2024-01-05 07:00:00+00:00
0.068460777;2024-01-05 08:00:00+00:00
0.136913991;2024-01-05 09:00:00+00:00
0.191876063;2024-01-05 10:00:00+00:00
0.196266382;2024-01-05 11:00:00+00:00
0.150055988;2024-01-05 12:00:00+00:00
0.061666224;2024-01-05 13:00:00+00:00
0.018531382;2024-01-05 14:00:00+00:00
0;2024-01-05 15:00:00+00:00
0;2024-01-05 16:00:00+00:00
0;2024-01-05 17:00:00+00:00
0;2024-01-05 18:00:00+00:00
