MODELLING_ERA5_KWH;START_DATETIME
0;2024-01-01 00:00:00+00:00
0;2024-01-01 01:00:00+00:00
0;2024-01-01 02:00:00+00:00
0;2024-01-01 03:00:00+00:00
0;2024-01-01 04:00:00+00:00
0;2024-01-01 05:00:00+00:00
0;2024-01-01 06:00:00+00:00
0.001216893;2024-01-01 07:00:00+00:00
0.19045539;2024-01-01 08:00:00+00:00
0.073480211;2024-01-01 09:00:00+00:00
0.089181917;2024-01-01 10:00:00+00:00
0.149956126;2024-01-01 11:00:00+00:00
0.224421161;2024-01-01 12:00:00+00:00
0.106286752;2024-01-01 13:00:00+00:00
0.021108007;2024-01-01 14:00:00+00:00
0;2024-01-01 15:00:00+00:00
0;2024-01-01 16:00:00+00:00
0;2024-01-01 17:00:00+00:00
0;2024-01-01 18:00:00+00:00
0;2024-01-01 19:00:00+00:00
0;2024-01-01 20:00:00+00:00
0;2024-01-01 21:00:00+00:00
0;2024-01-01 22:00:00+00:00
0;2024-01-01 23:00:00+00:00
0;2024-01-02 00:00:00+00:00
0;2024-01-02 01:00:00+00:00
0;2024-01-02 02:00:00+00:00
0;2024-01-02 03:00:00+00:00
0;2024-01-02 04:00:00+00:00
0;2024-01-02 05:00:00+00:00
0;2024-01-02 06:00:00+00:00
0;2024-01-02 07:00:00+00:00
0.002345233;2024-01-02 08:00:00+00:00
0.010074167;2024-01-02 09:00:00+00:00
0.014726306;2024-01-02 10:00:00+00:00
0.017080693;2024-01-02 11:00:00+00:00
0.021801123;2024-01-02 12:00:00+00:00
0.020391419;2024-01-02 13:00:00+00:00
0.00380402;2024-01-02 14:00:00+00:00
0;2024-01-02 15:00:00+00:00
0;2024-01-02 16:00:00+00:00
0;2024-01-02 17:00:00+00:00
0;2024-01-02 18:00:00+00:00
0;2024-01-02 19:00:00+00:00
0;2024-01-02 20:00:00+00:00
0;2024-01-02 21:00:00+00:00
0;2024-01-02 22:00:00+00:00
0;2024-01-02 23:00:00+00:00
0;2024-01-03 00:00:00+00:00
0;2024-01-03 01:00:00+00:00
0;2024-01-03 02:00:00+00:00
0;2024-01-03 03:00:00+00:00
0;2024-01-03 04:00:00+00:00
0;2024-01-03 05:00:00+00:00
0;2024-01-03 06:00:00+00:00
0;2024-01-03 07:00:00+00:00
0.074402908;2024-01-03 08:00:00+00:00
0.050273643;2024-01-03 09:00:00+00:00
0.061035836;2024-01-03 10:00:00+00:00
0.062314206;2024-01-03 11:00:00+00:00
0.050193324;2024-01-03 12:00:00+00:00
0.03486896;2024-01-03 13:00:00+00:00
0.014928445;2024-01-03 14:00:00+00:00
0;2024-01-03 15:00:00+00:00
0;2024-01-03 16:00:00+00:00
0;2024-01-03 17:00:00+00:00
0;2024-01-03 18:00:00+00:00
0;2024-01-03 19:00:00+00:00
0;2024-01-03 20:00:00+00:00
0;2024-01-03 21:00:00+00:00
0;2024-01-03 22:00:00+00:00
0;2024-01-03 23:00:00+00:00
0;2024-01-04 00:00:00+00:00
0;2024-01-04 01:00:00+00:00
0;2024-01-04 02:00:00+00:00
0;2024-01-04 03:00:00+00:00
0;2024-01-04 04:00:00+00:00
0;2024-01-04 05:00:00+00:00
0;2024-01-04 06:00:00+00:00
0;2024-01-04 07:00:00+00:00
0.022046424;2024-01-04 08:00:00+00:00
0.040661111;2024-01-04 09:00:00+00:00
0.069281654;2024-01-04 10:00:00+00:00
0.092364508;2024-01-04 11:00:00+00:00
0.080008655;2024-01-04 12:00:00+00:00
0.051227253;2024-01-04 13:00:00+00:00
0.010061029;2024-01-04 14:00:00+00:00
0;2024-01-04 15:00:00+00:00
0;2024-01-04 16:00:00+00:00
0;2024-01-04 17:00:00+00:00
0;2024-01-04 18:00:00+00:00
0;2024-01-04 19:00:00+00:00
0;2024-01-04 20:00:00+00:00
0;2024-01-04 21:00:00+00:00
0;2024-01-04 22:00:00+00:00
0;2024-01-04 23:00:00+00:00
0;2024-01-05 00:00:00+00:00
0;2024-01-05 01:00:00+00:00
0;2024-01-05 02:00:00+00:00
0;2024-01-05 03:00:00+00:00
0;2024-01-05 04:00:00+00:00
0;2024-01-05 05:00:00+00:00
0;2024-01-05 06:00:00+00:00
0;2024-01-05 07:00:00+00:00
0.01322714;2024-01-05 08:00:00+00:00
0.046879207;2024-01-05 09:00:00+00:00
0.090824763;2024-01-05 10:00:00+00:00
0.085973492;2024-01-05 11:00:00+00:00
0.061494653;2024-01-05 12:00:00+00:00
0.054303315;2024-01-05 13:00:00+00:00
0.011018979;2024-01-05 14:00:00+00:00
0;2024-01-05 15:00:00+00:00
0;2024-01-05 16:00:00+00:00
0;2024-01-05 17:00:00+00:00
0;2024-01-05 18:00:00+00:00
