MODELLING_ERA5_KWH;START_DATETIME
0;2024-01-01 00:00:00+00:00
0;2024-01-01 01:00:00+00:00
0;2024-01-01 02:00:00+00:00
0;2024-01-01 03:00:00+00:00
0;2024-01-01 04:00:00+00:00
0;2024-01-01 05:00:00+00:00
0;2024-01-01 06:00:00+00:00
0.000478694;2024-01-01 07:00:00+00:00
0.063023646;2024-01-01 08:00:00+00:00
0.143606633;2024-01-01 09:00:00+00:00
0.240811791;2024-01-01 10:00:00+00:00
0.202565237;2024-01-01 11:00:00+00:00
0.192106578;2024-01-01 12:00:00+00:00
0.105088067;2024-01-01 13:00:00+00:00
0.037242557;2024-01-01 14:00:00+00:00
0;2024-01-01 15:00:00+00:00
0;2024-01-01 16:00:00+00:00
0;2024-01-01 17:00:00+00:00
0;2024-01-01 18:00:00+00:00
0;2024-01-01 19:00:00+00:00
0;2024-01-01 20:00:00+00:00
0;2024-01-01 21:00:00+00:00
0;2024-01-01 22:00:00+00:00
0;2024-01-01 23:00:00+00:00
0;2024-01-02 00:00:00+00:00
0;2024-01-02 01:00:00+00:00
0;2024-01-02 02:00:00+00:00
0;2024-01-02 03:00:00+00:00
0;2024-01-02 04:00:00+00:00
0;2024-01-02 05:00:00+00:00
0;2024-01-02 06:00:00+00:00
0;2024-01-02 07:00:00+00:00
0.007960743;2024-01-02 08:00:00+00:00
0.013565055;2024-01-02 09:00:00+00:00
0.020297583;2024-01-02 10:00:00+00:00
0.012618665;2024-01-02 11:00:00+00:00
0.019493197;2024-01-02 12:00:00+00:00
0.010821854;2024-01-02 13:00:00+00:00
0.00187738;2024-01-02 14:00:00+00:00
0;2024-01-02 15:00:00+00:00
0;2024-01-02 16:00:00+00:00
0;2024-01-02 17:00:00+00:00
0;2024-01-02 18:00:00+00:00
0;2024-01-02 19:00:00+00:00
0;2024-01-02 20:00:00+00:00
0;2024-01-02 21:00:00+00:00
0;2024-01-02 22:00:00+00:00
0;2024-01-02 23:00:00+00:00
0;2024-01-03 00:00:00+00:00
0;2024-01-03 01:00:00+00:00
0;2024-01-03 02:00:00+00:00
0;2024-01-03 03:00:00+00:00
0;2024-01-03 04:00:00+00:00
0;2024-01-03 05:00:00+00:00
0;2024-01-03 06:00:00+00:00
0.003035292;2024-01-03 07:00:00+00:00
0.279630289;2024-01-03 08:00:00+00:00
0.089447753;2024-01-03 09:00:00+00:00
0.062596337;2024-01-03 10:00:00+00:00
0.068596738;2024-01-03 11:00:00+00:00
0.226179225;2024-01-03 12:00:00+00:00
0.12574834;2024-01-03 13:00:00+00:00
0.041902075;2024-01-03 14:00:00+00:00
0;2024-01-03 15:00:00+00:00
0;2024-01-03 16:00:00+00:00
0;2024-01-03 17:00:00+00:00
0;2024-01-03 18:00:00+00:00
0;2024-01-03 19:00:00+00:00
0;2024-01-03 20:00:00+00:00
0;2024-01-03 21:00:00+00:00
0;2024-01-03 22:00:00+00:00
0;2024-01-03 23:00:00+00:00
0;2024-01-04 00:00:00+00:00
0;2024-01-04 01:00:00+00:00
0;2024-01-04 02:00:00+00:00
0;2024-01-04 03:00:00+00:00
0;2024-01-04 04:00:00+00:00
0;2024-01-04 05:00:00+00:00
0;2024-01-04 06:00:00+00:00
0;2024-01-04 07:00:00+00:00
0.062682797;2024-01-04 08:00:00+00:00
0.049841005;2024-01-04 09:00:00+00:00
0.049977569;2024-01-04 10:00:00+00:00
0.069387852;2024-01-04 11:00:00+00:00
0.051723236;2024-01-04 12:00:00+00:00
0.032981973;2024-01-04 13:00:00+00:00
0.011189259;2024-01-04 14:00:00+00:00
0;2024-01-04 15:00:00+00:00
0;2024-01-04 16:00:00+00:00
0;2024-01-04 17:00:00+00:00
0;2024-01-04 18:00:00+00:00
0;2024-01-04 19:00:00+00:00
0;2024-01-04 20:00:00+00:00
0;2024-01-04 21:00:00+00:00
0;2024-01-04 22:00:00+00:00
0;2024-01-04 23:00:00+00:00
0;2024-01-05 00:00:00+00:00
0;2024-01-05 01:00:00+00:00
0;2024-01-05 02:00:00+00:00
0;2024-01-05 03:00:00+00:00
0;2024-01-05 04:00:00+00:00
0;2024-01-05 05:00:00+00:00
0;2024-01-05 06:00:00+00:00
0.002108707;2024-01-05 07:00:00+00:00
0.192479215;2024-01-05 08:00:00+00:00
0.217483964;2024-01-05 09:00:00+00:00
0.18014646;2024-01-05 10:00:00+00:00
0.134588354;2024-01-05 11:00:00+00:00
0.115370048;2024-01-05 12:00:00+00:00
0.101902512;2024-01-05 13:00:00+00:00
0.031862417;2024-01-05 14:00:00+00:00
0;2024-01-05 15:00:00+00:00
0;2024-01-05 16:00:00+00:00
0;2024-01-05 17:00:00+00:00
0;2024-01-05 18:00:00+00:00
