DateTime;Month;Day;Hour;P_Load;PV_Bayern_1;PV_Bayern_8;EP_epex;EP_buy;EP_sell
01.01.2024 00:00;1;1;0;0.233146682;0;0;0.0001;0.193818;0
01.01.2024 01:00;1;1;1;0.17246056;0;0;0.00001;0.1937109;0
01.01.2024 02:00;1;1;2;0.158163829;0;0;0;0.193699;0
01.01.2024 03:00;1;1;3;0.15396479;0;0;-0.00001;0.1936871;0
01.01.2024 04:00;1;1;4;0.156464218;0;0;-0.00003;0.1936633;0
01.01.2024 05:00;1;1;5;0.18745713;0;0;-0.00002;0.1936752;0
01.01.2024 06:00;1;1;6;0.360217622;0;0;-0.00005;0.1936395;0
01.01.2024 07:00;1;1;7;0.517481657;0.019345385;0.15476308;-0.00002;0.1936752;0
01.01.2024 08:00;1;1;8;0.533877907;0.411177124;3.289416992;0;0.193699;0
01.01.2024 09:00;1;1;9;0.492687327;0.499209853;3.993678824;0.00004;0.1937466;0
01.01.2024 10:00;1;1;10;0.464793706;0.547506545;4.38005236;0.00006;0.1937704;0
01.01.2024 11:00;1;1;11;0.473191785;0.526121607;4.208972856;0.00054;0.1943416;0
01.01.2024 12:00;1;1;12;0.522680468;0.345475464;2.763803712;0.00224;0.1963646;0
01.01.2024 13:00;1;1;13;0.517781588;0.224615151;1.796921208;0.00196;0.1960314;0
01.01.2024 14:00;1;1;14;0.461294506;0.061477764;0.491822112;0.00104;0.1949366;0
01.01.2024 15:00;1;1;15;0.419204132;0;0;0.00366;0.1980544;0
01.01.2024 16:00;1;1;16;0.420803766;0;0;0.04306;0.2449404;0.0412414
01.01.2024 17:00;1;1;17;0.514482343;0;0;0.04993;0.2531157;0.0494167
01.01.2024 18:00;1;1;18;0.664548024;0;0;0.058;0.262719;0.05902
01.01.2024 19:00;1;1;19;0.748028933;0;0;0.05425;0.2582565;0.0545575
01.01.2024 20:00;1;1;20;0.672746149;0;0;0.04801;0.2508309;0.0471319
01.01.2024 21:00;1;1;21;0.563771071;0;0;0.04295;0.2448095;0.0411105
01.01.2024 22:00;1;1;22;0.466593294;0;0;0.04709;0.2497361;0.0460371
01.01.2024 23:00;1;1;23;0.345520983;0;0;0.03555;0.2360035;0.0323045
02.01.2024 00:00;1;2;0;0.233501768;0;0;0.03059;0.2301011;0.0264021
02.01.2024 01:00;1;2;1;0.17272322;0;0;0.02007;0.2175823;0.0138833
02.01.2024 02:00;1;2;2;0.158404716;0;0;0.03103;0.2306247;0.0269257
02.01.2024 03:00;1;2;3;0.154199281;0;0;0.01839;0.2155831;0.0118841
02.01.2024 04:00;1;2;4;0.156702516;0;0;0.01108;0.2068842;0.0031852
02.01.2024 05:00;1;2;5;0.187742631;0;0;0.01378;0.2100972;0.0063982
02.01.2024 06:00;1;2;6;0.360766239;0;0;0.04763;0.2503787;0.0466797
02.01.2024 07:00;1;2;7;0.518269791;0;0;0.0581;0.262838;0.059139
02.01.2024 08:00;1;2;8;0.534691013;0.024986461;0.199891688;0.06567;0.2718463;0.0681473
02.01.2024 09:00;1;2;9;0.493437699;0.024419321;0.195354568;0.06473;0.2707277;0.0670287
02.01.2024 10:00;1;2;10;0.465501595;0.032858834;0.262870672;0.06898;0.2757852;0.0720862
02.01.2024 11:00;1;2;11;0.473912465;0.037976186;0.303809488;0.07354;0.2812116;0.0775126
02.01.2024 12:00;1;2;12;0.52347652;0.049133897;0.393071176;0.07816;0.2867094;0.0830104
02.01.2024 13:00;1;2;13;0.518570179;0.048427808;0.387422464;0.07887;0.2875543;0.0838553
02.01.2024 14:00;1;2;14;0.461997066;0.019506976;0.156055808;0.07924;0.2879946;0.0842956
02.01.2024 15:00;1;2;15;0.419842587;0;0;0.07996;0.2888514;0.0851524
02.01.2024 16:00;1;2;16;0.421444658;0;0;0.08346;0.2930164;0.0893174
02.01.2024 17:00;1;2;17;0.515265909;0;0;0.08092;0.2899938;0.0862948
02.01.2024 18:00;1;2;18;0.665560143;0;0;0.07495;0.2828895;0.0791905
02.01.2024 19:00;1;2;19;0.749168194;0;0;0.06318;0.2688832;0.0651842
02.01.2024 20:00;1;2;20;0.673770754;0;0;0.05711;0.2616599;0.0579609
02.01.2024 21:00;1;2;21;0.564629704;0;0;0.04689;0.2494981;0.0457991
02.01.2024 22:00;1;2;22;0.467303924;0;0;0.04;0.241299;0.0376
02.01.2024 23:00;1;2;23;0.346047217;0;0;0.00743;0.2025407;0
03.01.2024 00:00;1;3;0;0.233831217;0;0;-0.00008;0.1936038;0
03.01.2024 01:00;1;3;1;0.172966916;0;0;-0.00123;0.1922353;0
