DateTime;P_Load_kWh;P_Load_MWh;MODELLING_ERA5_KWH;P_PV_1_kWh;P_PV_8_kWh;P_PV_8_MWh
01.01.2024 00:00;42158.04933;42.15804933;0;0;0;0
01.01.2024 01:00;31184.66338;31.18466338;0;0;0;0
01.01.2024 02:00;28599.49989;28.59949989;0;0;0;0
01.01.2024 03:00;27840.22126;27.84022126;0;0;0;0
01.01.2024 04:00;28292.17283;28.29217283;0;0;0;0
01.01.2024 05:00;33896.37316;33.89637316;0;0;0;0
01.01.2024 06:00;65135.27085;65.13527085;0;0;0;0
01.01.2024 07:00;93572.06818;93.57206818;0.003372825;609.8809622;4879.047697;4.879047697
01.01.2024 08:00;96536.8709;96.5368709;0.356486933;64460.6802;515685.4416;515.6854416
01.01.2024 09:00;89088.70784;89.08870784;0.279139804;50474.61764;403796.9411;403.7969411
01.01.2024 10:00;84044.92751;84.04492751;0.201793153;36488.64151;291909.1321;291.9091321
01.01.2024 11:00;85563.48495;85.56348495;0.120706637;21826.41552;174611.3241;174.6113241
01.01.2024 12:00;94512.12758;94.51212758;0.073691639;13325.06955;106600.5564;106.6005564
01.01.2024 13:00;93626.30231;93.62630231;0.074326759;13439.91322;107519.3057;107.5193057
01.01.2024 14:00;83412.19516;83.41219516;0.014218684;2571.050878;20568.40703;20.56840703
01.01.2024 15:00;75801.32956;75.80132956;0;0;0;0
01.01.2024 16:00;76090.57858;76.09057858;0;0;0;0
01.01.2024 17:00;93029.72623;93.02972623;0;0;0;0
01.01.2024 18:00;120164.9028;120.1649028;0;0;0;0
01.01.2024 19:00;135260.0877;135.2600877;0;0;0;0
01.01.2024 20:00;121647.3042;121.6473042;0;0;0;0
01.01.2024 21:00;101942.2126;101.9422126;0;0;0;0
01.01.2024 22:00;84370.33261;84.37033261;0;0;0;0
01.01.2024 23:00;62477.79519;62.47779519;0;0;0;0
02.01.2024 00:00;42222.25669;42.22225669;0;0;0;0
02.01.2024 01:00;31232.15809;31.23215809;0;0;0;0
02.01.2024 02:00;28643.05756;28.64305756;0;0;0;0
02.01.2024 03:00;27882.62239;27.88262239;0;0;0;0
02.01.2024 04:00;28335.26235;28.33526235;0;0;0;0
02.01.2024 05:00;33947.99802;33.94799802;0;0;0;0
02.01.2024 06:00;65234.47287;65.23447287;0;0;0;0
02.01.2024 07:00;93714.58015;93.71458015;0;0;0;0
02.01.2024 08:00;96683.89835;96.68389835;0.013406452;2424.181464;19393.45171;19.39345171
02.01.2024 09:00;89224.39161;89.22439161;0.017117065;3095.141927;24761.13542;24.76113542
02.01.2024 10:00;84172.92941;84.17292941;0.023730574;4291.009852;34328.07881;34.32807881
02.01.2024 11:00;85693.79975;85.69379975;0.022929013;4146.069989;33168.55991;33.16855991
02.01.2024 12:00;94656.0713;94.6560713;0.018200371;3291.027485;26328.21988;26.32821988
02.01.2024 13:00;93768.89691;93.76889691;0.004276916;773.360505;6186.88404;6.18688404
02.01.2024 14:00;83539.23347;83.53923347;0;0;0;0
02.01.2024 15:00;75916.77627;75.91677627;0;0;0;0
02.01.2024 16:00;76206.46595;76.20646595;0;0;0;0
02.01.2024 17:00;93171.4122;93.1714122;0;0;0;0
02.01.2024 18:00;120347.9162;120.3479162;0;0;0;0
02.01.2024 19:00;135466.0912;135.4660912;0;0;0;0
02.01.2024 20:00;121832.5753;121.8325753;0;0;0;0
02.01.2024 21:00;102097.4723;102.0974723;0;0;0;0
02.01.2024 22:00;84498.83015;84.49883015;0;0;0;0
02.01.2024 23:00;62572.94987;62.57294987;0;0;0;0
03.01.2024 00:00;42281.82832;42.28182832;0;0;0;0
03.01.2024 01:00;31276.22368;31.27622368;0;0;0;0
03.01.2024 02:00;28683.47019;28.68347019;0;0;0;0
03.01.2024 03:00;27921.96202;27.92196202;0;0;0;0
03.01.2024 04:00;28375.24065;28.37524065;0;0;0;0
03.01.2024 05:00;33995.89542;33.99589542;0;0;0;0
03.01.2024 06:00;65326.51253;65.32651253;0;0;0;0
03.01.2024 07:00;93846.80244;93.84680244;0;0;0;0
03.01.2024 08:00;96820.31011;96.82031011;0.023122254;4181.012213;33448.0977;33.4480977
03.01.2024 09:00;89350.27862;89.35027862;0.081736253;14779.71274;118237.7019;118.2377019
03.01.2024 10:00;84291.68932;84.29168932;0.120660195;21818.01778;174544.1422;174.5441422
03.01.2024 11:00;85814.70547;85.81470547;0.119753904;21654.14043;173233.1234;173.2331234
03.01.2024 12:00;94789.62191;94.78962191;0.069163675;12506.31404;100050.5123;100.0505123
03.01.2024 13:00;93901.19587;93.90119587;0.029552789;5343.794413;42750.3553;42.7503553
03.01.2024 14:00;83657.0994;83.6570994;0.005718505;1034.031511;8272.252089;8.272252089
03.01.2024 15:00;76023.88762;76.02388762;0;0;0;0
03.01.2024 16:00;76313.98596;76.31398596;0;0;0;0
03.01.2024 17:00;93302.86798;93.30286798;0;0;0;0
03.01.2024 18:00;120517.7154;120.5177154;0;0;0;0
