DateTime;P_Load_kWh;P_Load_MWh;MODELLING_ERA5_KWH;P_PV_1_kWh;P_PV_8_kWh;P_PV_8_MWh
01.01.2024 00:00;55188.85054;55.18885054;0;0;0;0
01.01.2024 01:00;40823.65654;40.82365654;0;0;0;0
01.01.2024 02:00;37439.43445;37.43943445;0;0;0;0
01.01.2024 03:00;36445.46734;36.44546734;0;0;0;0
01.01.2024 04:00;37037.11444;37.03711444;0;0;0;0
01.01.2024 05:00;44373.53961;44.37353961;0;0;0;0
01.01.2024 06:00;85268.19396;85.26819396;0;0;0;0
01.01.2024 07:00;122494.6355;122.4946355;0.019345385;4579.30412;36634.43296;36.63443296
01.01.2024 08:00;126375.841;126.375841;0.411177124;97330.97055;778647.7644;778.6477644
01.01.2024 09:00;116625.4952;116.6254952;0.499209853;118169.4619;945355.6955;945.3556955
01.01.2024 10:00;110022.7125;110.0227125;0.547506545;129601.9168;1036815.334;1036.815334
01.01.2024 11:00;112010.647;112.010647;0.526121607;124539.824;996318.5917;996.3185917
01.01.2024 12:00;123725.2616;123.7252616;0.345475464;81778.53351;654228.2681;654.2282681
01.01.2024 13:00;122565.633;122.565633;0.224615151;53169.32624;425354.6099;425.3546099
01.01.2024 14:00;109194.4064;109.1944064;0.061477764;14552.58595;116420.6876;116.4206876
01.01.2024 15:00;99231.0677;99.2310677;0;0;0;0
01.01.2024 16:00;99609.72186;99.60972186;0;0;0;0
01.01.2024 17:00;121784.6589;121.7846589;0;0;0;0
01.01.2024 18:00;157307.1564;157.3071564;0;0;0;0
01.01.2024 19:00;177068.1728;177.0681728;0;0;0;0
01.01.2024 20:00;159247.7592;159.2477592;0;0;0;0
01.01.2024 21:00;133451.9415;133.4519415;0;0;0;0
01.01.2024 22:00;110448.6984;110.4486984;0;0;0;0
01.01.2024 23:00;81789.30845;81.78930845;0;0;0;0
02.01.2024 00:00;55272.90401;55.27290401;0;0;0;0
02.01.2024 01:00;40885.83158;40.88583158;0;0;0;0
02.01.2024 02:00;37496.45554;37.49645554;0;0;0;0
02.01.2024 03:00;36500.9744;36.5009744;0;0;0;0
02.01.2024 04:00;37093.52267;37.09352267;0;0;0;0
02.01.2024 05:00;44441.12141;44.44112141;0;0;0;0
02.01.2024 06:00;85398.05873;85.39805873;0;0;0;0
02.01.2024 07:00;122681.197;122.681197;0;0;0;0
02.01.2024 08:00;126568.3138;126.5683138;0.024986461;5914.620143;47316.96114;47.31696114
02.01.2024 09:00;116803.118;116.803118;0.024419321;5780.370732;46242.96585;46.24296585
02.01.2024 10:00;110190.2791;110.1902791;0.032858834;7778.113173;62224.90538;62.22490538
02.01.2024 11:00;112181.2413;112.1812413;0.037976186;8989.456917;71915.65533;71.91565533
02.01.2024 12:00;123913.6975;123.9136975;0.049133897;11630.63216;93045.05728;93.04505728
02.01.2024 13:00;122752.3028;122.7523028;0.048427808;11463.49172;91707.93372;91.70793372
02.01.2024 14:00;109360.7115;109.3607115;0.019506976;4617.55481;36940.43848;36.94043848
02.01.2024 15:00;99382.1983;99.3821983;0;0;0;0
02.01.2024 16:00;99761.42933;99.76142933;0;0;0;0
02.01.2024 17:00;121970.1391;121.9701391;0;0;0;0
02.01.2024 18:00;157546.7381;157.5467381;0;0;0;0
02.01.2024 19:00;177337.8507;177.3378507;0;0;0;0
02.01.2024 20:00;159490.2965;159.4902965;0;0;0;0
02.01.2024 21:00;133655.1911;133.6551911;0;0;0;0
02.01.2024 22:00;110616.9138;110.6169138;0;0;0;0
02.01.2024 23:00;81913.87488;81.91387488;0;0;0;0
03.01.2024 00:00;55350.88887;55.35088887;0;0;0;0
03.01.2024 01:00;40943.51759;40.94351759;0;0;0;0
03.01.2024 02:00;37549.35947;37.54935947;0;0;0;0
03.01.2024 03:00;36552.47368;36.55247368;0;0;0;0
03.01.2024 04:00;37145.85802;37.14585802;0;0;0;0
03.01.2024 05:00;44503.82361;44.50382361;0;0;0;0
03.01.2024 06:00;85518.54731;85.51854731;0;0;0;0
03.01.2024 07:00;122854.2884;122.8542884;0.012526239;2965.123612;23720.9889;23.7209889
03.01.2024 08:00;126746.8896;126.7468896;0.248502976;58823.88496;470591.0797;470.5910797
03.01.2024 09:00;116967.916;116.967916;0.402651791;95312.9134;762503.3072;762.5033072
03.01.2024 10:00;110345.7469;110.3457469;0.48297259;114325.8907;914607.1256;914.6071256
03.01.2024 11:00;112339.5183;112.3395183;0.465010736;110074.0864;880592.6908;880.5926908
03.01.2024 12:00;124088.5278;124.0885278;0.373516606;88416.23636;707329.8908;707.3298908
03.01.2024 13:00;122925.4946;122.9254946;0.195264816;46221.72039;369773.7631;369.7737631
03.01.2024 14:00;109515.0091;109.5150091;0.076072188;18007.27584;144058.2067;144.0582067
03.01.2024 15:00;99522.41714;99.52241714;0.000156783;37.11257428;296.9005942;0.296900594
03.01.2024 16:00;99902.18314;99.90218314;0;0;0;0
03.01.2024 17:00;122142.2271;122.1422271;0;0;0;0
03.01.2024 18:00;157769.0213;157.7690213;0;0;0;0
03.01.2024 19:00;177588.0575;177.5880575;0;0;0;0
03.01.2024 20:00;159715.322;159.715322;0;0;0;0
03.01.2024 21:00;133843.7659;133.8437659;0;0;0;0
03.01.2024 22:00;110772.9839;110.7729839;0;0;0;0
03.01.2024 23:00;82029.44763;82.02944763;0;0;0;0
04.01.2024 00:00;55422.88892;55.42288892;0;0;0;0
04.01.2024 01:00;40996.77683;40.99677683;0;0;0;0
04.01.2024 02:00;37598.20354;37.59820354;0;0;0;0
04.01.2024 03:00;36600.02104;36.60002104;0;0;0;0
04.01.2024 04:00;37194.1773;37.1941773;0;0;0;0
04.01.2024 05:00;44561.7139;44.5617139;0;0;0;0
04.01.2024 06:00;85629.78963;85.62978963;0;0;0;0
04.01.2024 07:00;123014.0967;123.0140967;0.012098519;2863.876728;22911.01382;22.91101382
04.01.2024 08:00;126911.7614;126.9117614;0.251634299;59565.10982;476520.8786;476.5208786
04.01.2024 09:00;117120.0673;117.1200673;0.339117506;80273.5222;642188.1776;642.1881776
04.01.2024 10:00;110489.2843;110.4892843;0.338757997;80188.42174;641507.374;641.507374
04.01.2024 11:00;112485.649;112.485649;0.384398337;90992.08355;727936.6684;727.9366684
04.01.2024 12:00;124249.9417;124.2499417;0.358680127;84904.2489;679233.9912;679.2339912
04.01.2024 13:00;123085.3954;123.0853954;0.232095813;54940.09618;439520.7695;439.5207695
04.01.2024 14:00;109657.4658;109.6574658;0.060223228;14255.62097;114044.9678;114.0449678
04.01.2024 15:00;99651.87548;99.65187548;0;0;0;0
04.01.2024 16:00;100032.1355;100.0321355;0;0;0;0
04.01.2024 17:00;122301.1093;122.3011093;0;0;0;0
04.01.2024 18:00;157974.2468;157.9742468;0;0;0;0
04.01.2024 19:00;177819.0634;177.8190634;0;0;0;0
04.01.2024 20:00;159923.0791;159.9230791;0;0;0;0
04.01.2024 21:00;134017.8693;134.0178693;0;0;0;0
04.01.2024 22:00;110917.0767;110.9170767;0;0;0;0
04.01.2024 23:00;82136.15123;82.13615123;0;0;0;0
05.01.2024 00:00;55488.98842;55.48898842;0;0;0;0
05.01.2024 01:00;41045.67108;41.04567108;0;0;0;0
05.01.2024 02:00;37643.04456;37.64304456;0;0;0;0
05.01.2024 03:00;36643.67163;36.64367163;0;0;0;0
05.01.2024 04:00;37238.53637;37.23853637;0;0;0;0
05.01.2024 05:00;44614.86;44.61486;0;0;0;0
05.01.2024 06:00;85731.91496;85.73191496;0;0;0;0
05.01.2024 07:00;123160.8081;123.1608081;0.014127597;3344.185869;26753.48695;26.75348695
05.01.2024 08:00;127063.1213;127.0631213;0.140768614;33321.76093;266574.0874;266.5740874
05.01.2024 09:00;117259.7493;117.2597493;0.140632746;33289.5992;266316.7936;266.3167936
05.01.2024 10:00;110621.0581;110.6210581;0.183501452;43437.17921;347497.4337;347.4974337
05.01.2024 11:00;112619.804;112.619804;0.269632383;63825.49028;510603.9222;510.6039222
05.01.2024 12:00;124398.1268;124.3981268;0.27759974;65711.46725;525691.738;525.691738
05.01.2024 13:00;123232.192;123.232192;0.119543851;28297.5836;226380.6688;226.3806688
05.01.2024 14:00;109788.2474;109.7882474;0.038283813;9062.276227;72498.20981;72.49820981
05.01.2024 15:00;99770.72434;99.77072434;0;0;0;0
05.01.2024 16:00;100151.4377;100.1514377;0;0;0;0
05.01.2024 17:00;122446.9705;122.4469705;0;0;0;0
05.01.2024 18:00;158162.653;158.162653;0;0;0;0
05.01.2024 19:00;178031.1374;178.0311374;0;0;0;0
05.01.2024 20:00;160113.8094;160.1138094;0;0;0;0
05.01.2024 21:00;134177.7043;134.1777043;0;0;0;0
05.01.2024 22:00;111049.3607;111.0493607;0;0;0;0
05.01.2024 23:00;82234.10993;82.23410993;0;0;0;0
06.01.2024 00:00;63886.42541;63.88642541;0;0;0;0
06.01.2024 01:00;50404.05539;50.40405539;0;0;0;0
06.01.2024 02:00;40113.6243;40.1136243;0;0;0;0
06.01.2024 03:00;37826.86191;37.82686191;0;0;0;0
06.01.2024 04:00;36659.66017;36.65966017;0;0;0;0
06.01.2024 05:00;38184.16859;38.18416859;0;0;0;0
06.01.2024 06:00;50594.61882;50.59461882;0;0;0;0
06.01.2024 07:00;78083.40878;78.08340878;0;0;0;0
06.01.2024 08:00;114052.2763;114.0522763;0.011817587;2797.376472;22379.01177;22.37901177
06.01.2024 09:00;135014.2653;135.0142653;0.023840267;5643.301122;45146.40898;45.14640898
06.01.2024 10:00;140874.094;140.874094;0.040443331;9573.462211;76587.69769;76.58769769
06.01.2024 11:00;147686.7405;147.6867405;0.052750658;12486.76651;99894.13206;99.89413206
