DateTime;P_Load_kWh;P_Load_MWh;MODELLING_ERA5_KWH;P_PV_1_kWh;P_PV_8_kWh;P_PV_8_MWh
01.01.2024 00:00;15857.93787;15.85793787;0;0;0;0
01.01.2024 01:00;11730.24991;11.73024991;0;0;0;0
01.01.2024 02:00;10757.82916;10.75782916;0;0;0;0
01.01.2024 03:00;10472.22312;10.47222312;0;0;0;0
01.01.2024 04:00;10642.22672;10.64222672;0;0;0;0
01.01.2024 05:00;12750.27161;12.75027161;0;0;0;0
01.01.2024 06:00;24500.922;24.500922;0;0;0;0
01.01.2024 07:00;35197.54986;35.19754986;0;0;0;0
01.01.2024 08:00;36312.7736;36.3127736;0.026358094;1792.79848;14342.38784;14.34238784
01.01.2024 09:00;33511.11392;33.51111392;0.030521275;2075.965562;16607.72449;16.60772449
01.01.2024 10:00;31613.8735;31.6138735;0.172332861;11721.56421;93772.51365;93.77251365
01.01.2024 11:00;32185.08564;32.18508564;0.158009963;10747.36365;85978.90923;85.97890923
01.01.2024 12:00;35551.15739;35.55115739;0.109660399;7458.771359;59670.17087;59.67017087
01.01.2024 13:00;35217.95027;35.21795027;0.090889249;6182.014049;49456.11239;49.45611239
01.01.2024 14:00;31375.86841;31.37586841;0.041575379;2827.832553;22622.66043;22.62266043
01.01.2024 15:00;28513.00745;28.51300745;0;0;0;0
01.01.2024 16:00;28621.80975;28.62180975;0;0;0;0
01.01.2024 17:00;34993.54552;34.99354552;0;0;0;0
01.01.2024 18:00;45200.56295;45.20056295;0;0;0;0
01.01.2024 19:00;50878.68394;50.87868394;0;0;0;0
01.01.2024 20:00;45758.17482;45.75817482;0;0;0;0
01.01.2024 21:00;38346.01694;38.34601694;0;0;0;0
01.01.2024 22:00;31736.27608;31.73627608;0;0;0;0
01.01.2024 23:00;23501.3007;23.5013007;0;0;0;0
02.01.2024 00:00;15882.08975;15.88208975;0;0;0;0
02.01.2024 01:00;11748.11525;11.74811525;0;0;0;0
02.01.2024 02:00;10774.21357;10.77421357;0;0;0;0
02.01.2024 03:00;10488.1725;10.4881725;0;0;0;0
02.01.2024 04:00;10658.43503;10.65843503;0;0;0;0
02.01.2024 05:00;12769.69053;12.76969053;0;0;0;0
02.01.2024 06:00;24538.23728;24.53823728;0;0;0;0
02.01.2024 07:00;35251.15637;35.25115637;0;0;0;0
02.01.2024 08:00;36368.07863;36.36807863;0.001861406;126.6072519;1012.858015;1.012858015
02.01.2024 09:00;33562.15197;33.56215197;0.012119296;824.318156;6594.545248;6.594545248
02.01.2024 10:00;31662.02199;31.66202199;0.016181686;1100.629737;8805.037893;8.805037893
02.01.2024 11:00;32234.10413;32.23410413;0.010658621;724.9674246;5799.739396;5.799739396
02.01.2024 12:00;35605.30246;35.60530246;0.009026769;613.9737471;4911.789977;4.911789977
02.01.2024 13:00;35271.58787;35.27158787;0.00593855;403.9223554;3231.378843;3.231378843
02.01.2024 14:00;31423.65444;31.42365444;0;0;0;0
02.01.2024 15:00;28556.43324;28.55643324;0;0;0;0
02.01.2024 16:00;28665.4013;28.6654013;0;0;0;0
02.01.2024 17:00;35046.84133;35.04684133;0;0;0;0
02.01.2024 18:00;45269.40425;45.26940425;0;0;0;0
02.01.2024 19:00;50956.17305;50.95617305;0;0;0;0
02.01.2024 20:00;45827.86537;45.82786537;0;0;0;0
02.01.2024 21:00;38404.41858;38.40441858;0;0;0;0
02.01.2024 22:00;31784.611;31.784611;0;0;0;0
02.01.2024 23:00;23537.09356;23.53709356;0;0;0;0
03.01.2024 00:00;15904.49789;15.90449789;0;0;0;0
03.01.2024 01:00;11764.69073;11.76469073;0;0;0;0
03.01.2024 02:00;10789.41496;10.78941496;0;0;0;0
03.01.2024 03:00;10502.97027;10.50297027;0;0;0;0
03.01.2024 04:00;10673.47305;10.67347305;0;0;0;0
03.01.2024 05:00;12787.70735;12.78770735;0;0;0;0
03.01.2024 06:00;24572.85841;24.57285841;0;0;0;0
03.01.2024 07:00;35300.89238;35.30089238;0;0;0;0
03.01.2024 08:00;36419.39052;36.41939052;0.008772356;596.6693381;4773.354704;4.773354704
03.01.2024 09:00;33609.50493;33.60950493;0.08330991;5666.490148;45331.92119;45.33192119
03.01.2024 10:00;31706.69406;31.70669406;0.232199476;15793.51176;126348.0941;126.3480941
03.01.2024 11:00;32279.58336;32.27958336;0.228962992;15573.37583;124587.0066;124.5870066
03.01.2024 12:00;35655.53812;35.65553812;0.089628718;6096.276512;48770.2121;48.7702121
03.01.2024 13:00;35321.35271;35.32135271;0.087584538;5957.237521;47657.90017;47.65790017
03.01.2024 14:00;31467.99023;31.46799023;0.043627264;2967.395615;23739.16492;23.73916492
03.01.2024 15:00;28596.72365;28.59672365;0;0;0;0
03.01.2024 16:00;28705.84544;28.70584544;0;0;0;0
03.01.2024 17:00;35096.28901;35.09628901;0;0;0;0
03.01.2024 18:00;45333.275;45.333275;0;0;0;0
03.01.2024 19:00;51028.06736;51.02806736;0;0;0;0
03.01.2024 20:00;45892.5241;45.8925241;0;0;0;0
03.01.2024 21:00;38458.60357;38.45860357;0;0;0;0
03.01.2024 22:00;31829.4561;31.8294561;0;0;0;0
03.01.2024 23:00;23570.30218;23.57030218;0;0;0;0
04.01.2024 00:00;15925.18635;15.92518635;0;0;0;0
04.01.2024 01:00;11779.99421;11.77999421;0;0;0;0
04.01.2024 02:00;10803.44979;10.80344979;0;0;0;0
04.01.2024 03:00;10516.63251;10.51663251;0;0;0;0
04.01.2024 04:00;10687.35708;10.68735708;0;0;0;0
04.01.2024 05:00;12804.34152;12.80434152;0;0;0;0
04.01.2024 06:00;24604.82272;24.60482272;0;0;0;0
04.01.2024 07:00;35346.81161;35.34681161;0;0;0;0
04.01.2024 08:00;36466.7647;36.4667647;0.012935007;879.8003711;7038.402969;7.038402969
04.01.2024 09:00;33653.22402;33.65322402;0.028221651;1919.552036;15356.41629;15.35641629
04.01.2024 10:00;31747.938;31.747938;0.130173012;8853.977757;70831.82206;70.83182206
04.01.2024 11:00;32321.5725;32.3215725;0.150351803;10226.47858;81811.82868;81.81182868
04.01.2024 12:00;35701.9187;35.7019187;0.254892515;17337.02419;138696.1935;138.6961935
04.01.2024 13:00;35367.29853;35.36729853;0.128742273;8756.663183;70053.30546;70.05330546
04.01.2024 14:00;31508.92368;31.50892368;0.066680701;4535.42124;36283.36992;36.28336992
04.01.2024 15:00;28633.92215;28.63392215;0.002338584;159.0634679;1272.507743;1.272507743
04.01.2024 16:00;28743.18588;28.74318588;0;0;0;0
04.01.2024 17:00;35141.94216;35.14194216;0;0;0;0
04.01.2024 18:00;45392.24438;45.39224438;0;0;0;0
04.01.2024 19:00;51094.44447;51.09444447;0;0;0;0
04.01.2024 20:00;45952.22092;45.95222092;0;0;0;0
04.01.2024 21:00;38508.63035;38.50863035;0;0;0;0
04.01.2024 22:00;31870.85968;31.87085968;0;0;0;0
04.01.2024 23:00;23600.96234;23.60096234;0;0;0;0
05.01.2024 00:00;15944.17934;15.94417934;0;0;0;0
05.01.2024 01:00;11794.04346;11.79404346;0;0;0;0
05.01.2024 02:00;10816.33439;10.81633439;0;0;0;0
05.01.2024 03:00;10529.17505;10.52917505;0;0;0;0
05.01.2024 04:00;10700.1032;10.7001032;0;0;0;0
05.01.2024 05:00;12819.61249;12.81961249;0;0;0;0
05.01.2024 06:00;24634.16737;24.63416737;0;0;0;0
05.01.2024 07:00;35388.96759;35.38896759;0;0;0;0
05.01.2024 08:00;36510.2564;36.5102564;0.164474552;11187.0656;89496.52483;89.49652483
05.01.2024 09:00;33693.36017;33.69336017;0.067657688;4601.872965;36814.98372;36.81498372
05.01.2024 10:00;31785.80184;31.78580184;0.109658333;7458.630836;59669.04669;59.66904669
05.01.2024 11:00;32360.12052;32.36012052;0.142743011;9708.951379;77671.61103;77.67161103
05.01.2024 12:00;35744.49816;35.74449816;0.127873149;8697.547976;69580.3838;69.5803838
05.01.2024 13:00;35409.479;35.409479;0.09121123;6203.914231;49631.31385;49.63131385
05.01.2024 14:00;31546.50239;31.54650239;0.049865701;3391.715385;27133.72308;27.13372308
05.01.2024 15:00;28668.07213;28.66807213;0.000606274;41.23693866;329.8955093;0.329895509
05.01.2024 16:00;28777.46611;28.77746611;0;0;0;0
05.01.2024 17:00;35183.85383;35.18385383;0;0;0;0
05.01.2024 18:00;45446.38094;45.44638094;0;0;0;0
05.01.2024 19:00;51155.38172;51.15538172;0;0;0;0
05.01.2024 20:00;46007.02528;46.00702528;0;0;0;0
05.01.2024 21:00;38554.55726;38.55455726;0;0;0;0
05.01.2024 22:00;31908.8701;31.9088701;0;0;0;0
05.01.2024 23:00;23629.10974;23.62910974;0;0;0;0
06.01.2024 00:00;18357.09487;18.35709487;0;0;0;0
06.01.2024 01:00;14483.07712;14.48307712;0;0;0;0
06.01.2024 02:00;11526.22959;11.52622959;0;0;0;0
06.01.2024 03:00;10869.15238;10.86915238;0;0;0;0
06.01.2024 04:00;10533.76919;10.53376919;0;0;0;0
06.01.2024 05:00;10971.82071;10.97182071;0;0;0;0
06.01.2024 06:00;14537.83353;14.53783353;0;0;0;0
06.01.2024 07:00;22436.44927;22.43644927;0;0;0;0
06.01.2024 08:00;32771.72642;32.77172642;0.014061074;956.3920703;7651.136562;7.651136562
06.01.2024 09:00;38794.93431;38.79493431;0.032849476;2234.322809;17874.58247;17.87458247
06.01.2024 10:00;40478.69466;40.47869466;0.063044291;4288.083541;34304.66833;34.30466833
06.01.2024 11:00;42436.23726;42.43623726;0.043490813;2958.114628;23664.91702;23.66491702
06.01.2024 12:00;45612.11049;45.61211049;0.034224291;2327.833601;18622.66881;18.62266881
06.01.2024 13:00;45399.92928;45.39992928;0.025648643;1744.543751;13956.35001;13.95635001
06.01.2024 14:00;42011.87484;42.01187484;0.013151856;894.5497896;7156.398316;7.156398316
06.01.2024 15:00;39363.03229;39.36303229;0;0;0;0
06.01.2024 16:00;39629.9699;39.6299699;0;0;0;0
06.01.2024 17:00;49417.68272;49.41768272;0;0;0;0
06.01.2024 18:00;57329.98756;57.32998756;0;0;0;0
06.01.2024 19:00;57528.47967;57.52847967;0;0;0;0
06.01.2024 20:00;47076.84509;47.07684509;0;0;0;0
06.01.2024 21:00;36714.18973;36.71418973;0;0;0;0
06.01.2024 22:00;33538.3165;33.5383165;0;0;0;0
06.01.2024 23:00;28452.81261;28.45281261;0;0;0;0
07.01.2024 00:00;21423.93868;21.42393868;0;0;0;0
07.01.2024 01:00;15422.22131;15.42222131;0;0;0;0
07.01.2024 02:00;12352.84984;12.35284984;0;0;0;0
07.01.2024 03:00;11277.19956;11.27719956;0;0;0;0
07.01.2024 04:00;10612.62585;10.61262585;0;0;0;0
07.01.2024 05:00;10585.22078;10.58522078;0;0;0;0
07.01.2024 06:00;11222.38935;11.22238935;0;0;0;0
07.01.2024 07:00;13702.55117;13.70255117;0;0;0;0
07.01.2024 08:00;24260.36682;24.26036682;0.070492404;4794.681843;38357.45474;38.35745474
07.01.2024 09:00;37956.06663;37.95606663;0.107289074;7297.480946;58379.84757;58.37984757
07.01.2024 10:00;47732.83688;47.73283688;0.140379619;9548.200546;76385.60436;76.38560436
07.01.2024 11:00;55570.69616;55.57069616;0.142323167;9680.39485;77443.1588;77.4431588
07.01.2024 12:00;56646.34638;56.64634638;0.150415831;10230.83358;81846.66862;81.84666862
07.01.2024 13:00;47417.6782;47.4176782;0.147073124;10003.47268;80027.7814;80.0277814
07.01.2024 14:00;37305.1955;37.3051955;0.067883857;4617.256302;36938.05041;36.93805041
07.01.2024 15:00;31954.34926;31.95434926;0.004174259;283.9205744;2271.364595;2.271364595
07.01.2024 16:00;29241.24411;29.24124411;0;0;0;0
