DateTime;P_Load_kWh;P_Load_MWh;MODELLING_ERA5_KWH;P_PV_1_kWh;P_PV_8_kWh;P_PV_8_MWh
01.01.2024 00:00;32145.33193;32.14533193;0;0;0;0
01.01.2024 01:00;23778.17217;23.77817217;0;0;0;0
01.01.2024 02:00;21806.99609;21.80699609;0;0;0;0
01.01.2024 03:00;21228.04939;21.22804939;0;0;0;0
01.01.2024 04:00;21572.66052;21.57266052;0;0;0;0
01.01.2024 05:00;25845.83926;25.84583926;0;0;0;0
01.01.2024 06:00;49665.36485;49.66536485;0;0;0;0
01.01.2024 07:00;71348.30094;71.34830094;0;0;0;0
01.01.2024 08:00;73608.95031;73.60895031;0.015485973;2135.144013;17081.15211;17.08115211
01.01.2024 09:00;67929.7579;67.9297579;0.053378328;7359.590351;58876.72281;58.87672281
01.01.2024 10:00;64083.89701;64.08389701;0.143892744;19839.35597;158714.8478;158.7148478
01.01.2024 11:00;65241.79055;65.24179055;0.173021401;23855.49868;190843.9895;190.8439895
01.01.2024 12:00;72065.09221;72.06509221;0.105854325;14594.77091;116758.1673;116.7581673
01.01.2024 13:00;71389.65423;71.38965423;0.100994196;13924.67577;111397.4061;111.3974061
01.01.2024 14:00;63601.44131;63.60144131;0.027213005;3752.020277;30016.16222;30.01616222
01.01.2024 15:00;57798.1889;57.7981889;0;0;0;0
01.01.2024 16:00;58018.74004;58.01874004;0;0;0;0
01.01.2024 17:00;70934.76752;70.93476752;0;0;0;0
01.01.2024 18:00;91625.22336;91.62522336;0;0;0;0
01.01.2024 19:00;103135.2372;103.1352372;0;0;0;0
01.01.2024 20:00;92755.54804;92.75554804;0;0;0;0
01.01.2024 21:00;77730.50019;77.73050019;0;0;0;0
01.01.2024 22:00;64332.017;64.332017;0;0;0;0
01.01.2024 23:00;47639.05105;47.63905105;0;0;0;0
02.01.2024 00:00;32194.28976;32.19428976;0;0;0;0
02.01.2024 01:00;23814.38668;23.81438668;0;0;0;0
02.01.2024 02:00;21840.20862;21.84020862;0;0;0;0
02.01.2024 03:00;21260.38007;21.26038007;0;0;0;0
02.01.2024 04:00;21605.5161;21.6055161;0;0;0;0
02.01.2024 05:00;25885.20299;25.88520299;0;0;0;0
02.01.2024 06:00;49741.00597;49.74100597;0;0;0;0
02.01.2024 07:00;71456.9657;71.4569657;0;0;0;0
02.01.2024 08:00;73721.05811;73.72105811;0;0;0;0
02.01.2024 09:00;68033.21619;68.03321619;0.005953217;820.8057471;6566.445977;6.566445977
02.01.2024 10:00;64181.49791;64.18149791;0.016939263;2335.517825;18684.1426;18.6841426
02.01.2024 11:00;65341.15502;65.34115502;0.029114868;4014.24154;32113.93232;32.11393232
02.01.2024 12:00;72174.84867;72.17484867;0.0463824;6395.019782;51160.15826;51.16015826
02.01.2024 13:00;71498.382;71.498382;0.020587061;2838.461622;22707.69298;22.70769298
02.01.2024 14:00;63698.30747;63.69830747;0.000345897;47.69089477;381.5271582;0.381527158
02.01.2024 15:00;57886.21653;57.88621653;0;0;0;0
02.01.2024 16:00;58107.10367;58.10710367;0;0;0;0
02.01.2024 17:00;71042.80247;71.04280247;0;0;0;0
02.01.2024 18:00;91764.77028;91.76477028;0;0;0;0
02.01.2024 19:00;103292.3139;103.2923139;0;0;0;0
02.01.2024 20:00;92896.81648;92.89681648;0;0;0;0
02.01.2024 21:00;77848.88507;77.84888507;0;0;0;0
02.01.2024 22:00;64429.99583;64.42999583;0;0;0;0
02.01.2024 23:00;47711.60609;47.71160609;0;0;0;0
03.01.2024 00:00;32239.71288;32.23971288;0;0;0;0
03.01.2024 01:00;23847.98651;23.84798651;0;0;0;0
03.01.2024 02:00;21871.02308;21.87102308;0;0;0;0
03.01.2024 03:00;21290.37637;21.29037637;0;0;0;0
03.01.2024 04:00;21635.99938;21.63599938;0;0;0;0
03.01.2024 05:00;25921.72455;25.92172455;0;0;0;0
03.01.2024 06:00;49811.18582;49.81118582;0;0;0;0
03.01.2024 07:00;71557.78463;71.55778463;0;0;0;0
03.01.2024 08:00;73825.07149;73.82507149;0.014675398;2023.385175;16187.0814;16.1870814
03.01.2024 09:00;68129.20449;68.12920449;0.028197185;3887.715079;31101.72063;31.10172063
03.01.2024 10:00;64272.05184;64.27205184;0.027408554;3778.981791;30231.85433;30.23185433
03.01.2024 11:00;65433.34512;65.43334512;0.043026339;5932.299516;47458.39613;47.45839613
03.01.2024 12:00;72276.68044;72.27668044;0.037737652;5203.116507;41624.93206;41.62493206
03.01.2024 13:00;71599.25939;71.59925939;0.02597704;3581.610367;28652.88294;28.65288294
03.01.2024 14:00;63788.17974;63.78817974;0.014904188;2054.929825;16439.4386;16.4394386
03.01.2024 15:00;57967.88848;57.96788848;0;0;0;0
03.01.2024 16:00;58189.08722;58.18908722;0;0;0;0
03.01.2024 17:00;71143.03694;71.14303694;0;0;0;0
03.01.2024 18:00;91894.24149;91.89424149;0;0;0;0
03.01.2024 19:00;103438.0495;103.4380495;0;0;0;0
03.01.2024 20:00;93027.88499;93.02788499;0;0;0;0
03.01.2024 21:00;77958.72247;77.95872247;0;0;0;0
03.01.2024 22:00;64520.90051;64.52090051;0;0;0;0
03.01.2024 23:00;47778.92267;47.77892267;0;0;0;0
04.01.2024 00:00;32281.65007;32.28165007;0;0;0;0
04.01.2024 01:00;23879.00792;23.87900792;0;0;0;0
04.01.2024 02:00;21899.47283;21.89947283;0;0;0;0
04.01.2024 03:00;21318.07083;21.31807083;0;0;0;0
04.01.2024 04:00;21664.14345;21.66414345;0;0;0;0
04.01.2024 05:00;25955.44337;25.95544337;0;0;0;0
04.01.2024 06:00;49875.98009;49.87598009;0;0;0;0
04.01.2024 07:00;71650.86665;71.65086665;0;0;0;0
04.01.2024 08:00;73921.10281;73.92110281;0.019255399;2654.857393;21238.85914;21.23885914
04.01.2024 09:00;68217.82664;68.21782664;0.041805642;5763.994696;46111.95757;46.11195757
04.01.2024 10:00;64355.65667;64.35565667;0.072605807;10010.59825;80084.78597;80.08478597
04.01.2024 11:00;65518.46053;65.51846053;0.080186919;11055.85164;88446.81315;88.44681315
04.01.2024 12:00;72370.69767;72.37069767;0.081579139;11247.80537;89982.44295;89.98244295
04.01.2024 13:00;71692.39532;71.69239532;0.04929436;6796.509179;54372.07343;54.37207343
04.01.2024 14:00;63871.15517;63.87115517;0.020319355;2801.55139;22412.41112;22.41241112
04.01.2024 15:00;58043.29286;58.04329286;0;0;0;0
