DateTime;Month;Day;Hour;P_Load;P_PV_1;EP_epex;EP_buy;EP_sell
01.01.2024 00:00;1;1;0;0.233146682;0;0.0001;0.1938186;0
01.01.2024 01:00;1;1;1;0.17246056;0;0.00001;0.1937115;0
01.01.2024 02:00;1;1;2;0.158163829;0;0;0.1936996;0
01.01.2024 03:00;1;1;3;0.15396479;0;-0.00001;0.1936877;0
01.01.2024 04:00;1;1;4;0.156464218;0;-0.00003;0.1936639;0
01.01.2024 05:00;1;1;5;0.18745713;0;-0.00002;0.1936758;0
01.01.2024 06:00;1;1;6;0.360217622;0;-0.00005;0.1936401;0
01.01.2024 07:00;1;1;7;0.517481657;0.019345385;-0.00002;0.1936758;0
01.01.2024 08:00;1;1;8;0.533877907;0.411177124;0;0.1936996;0
01.01.2024 09:00;1;1;9;0.492687327;0.499209853;0.00004;0.1937472;0
01.01.2024 10:00;1;1;10;0.464793706;0.547506545;0.00006;0.193771;0
01.01.2024 11:00;1;1;11;0.473191785;0.526121607;0.00054;0.1943422;0
01.01.2024 12:00;1;1;12;0.522680468;0.345475464;0.00224;0.1963652;0
01.01.2024 13:00;1;1;13;0.517781588;0.224615151;0.00196;0.196032;0
01.01.2024 14:00;1;1;14;0.461294506;0.061477764;0.00104;0.1949372;0
01.01.2024 15:00;1;1;15;0.419204132;0;0.00366;0.198055;0
01.01.2024 16:00;1;1;16;0.420803766;0;0.04306;0.244941;0.0412414
01.01.2024 17:00;1;1;17;0.514482343;0;0.04993;0.2531163;0.0494167
01.01.2024 18:00;1;1;18;0.664548024;0;0.058;0.2627196;0.05902
01.01.2024 19:00;1;1;19;0.748028933;0;0.05425;0.2582571;0.0545575
01.01.2024 20:00;1;1;20;0.672746149;0;0.04801;0.2508315;0.0471319
01.01.2024 21:00;1;1;21;0.563771071;0;0.04295;0.2448101;0.0411105
01.01.2024 22:00;1;1;22;0.466593294;0;0.04709;0.2497367;0.0460371
01.01.2024 23:00;1;1;23;0.345520983;0;0.03555;0.2360041;0.0323045
02.01.2024 00:00;1;2;0;0.233501768;0;0.03059;0.2301017;0.0264021
02.01.2024 01:00;1;2;1;0.17272322;0;0.02007;0.2175829;0.0138833
02.01.2024 02:00;1;2;2;0.158404716;0;0.03103;0.2306253;0.0269257
02.01.2024 03:00;1;2;3;0.154199281;0;0.01839;0.2155837;0.0118841
02.01.2024 04:00;1;2;4;0.156702516;0;0.01108;0.2068848;0.0031852
02.01.2024 05:00;1;2;5;0.187742631;0;0.01378;0.2100978;0.0063982
02.01.2024 06:00;1;2;6;0.360766239;0;0.04763;0.2503793;0.0466797
02.01.2024 07:00;1;2;7;0.518269791;0;0.0581;0.2628386;0.059139
02.01.2024 08:00;1;2;8;0.534691013;0.024986461;0.06567;0.2718469;0.0681473
02.01.2024 09:00;1;2;9;0.493437699;0.024419321;0.06473;0.2707283;0.0670287
02.01.2024 10:00;1;2;10;0.465501595;0.032858834;0.06898;0.2757858;0.0720862
02.01.2024 11:00;1;2;11;0.473912465;0.037976186;0.07354;0.2812122;0.0775126
02.01.2024 12:00;1;2;12;0.52347652;0.049133897;0.07816;0.28671;0.0830104
02.01.2024 13:00;1;2;13;0.518570179;0.048427808;0.07887;0.2875549;0.0838553
02.01.2024 14:00;1;2;14;0.461997066;0.019506976;0.07924;0.2879952;0.0842956
02.01.2024 15:00;1;2;15;0.419842587;0;0.07996;0.288852;0.0851524
02.01.2024 16:00;1;2;16;0.421444658;0;0.08346;0.293017;0.0893174
02.01.2024 17:00;1;2;17;0.515265909;0;0.08092;0.2899944;0.0862948
02.01.2024 18:00;1;2;18;0.665560143;0;0.07495;0.2828901;0.0791905
02.01.2024 19:00;1;2;19;0.749168194;0;0.06318;0.2688838;0.0651842
02.01.2024 20:00;1;2;20;0.673770754;0;0.05711;0.2616605;0.0579609
02.01.2024 21:00;1;2;21;0.564629704;0;0.04689;0.2494987;0.0457991
02.01.2024 22:00;1;2;22;0.467303924;0;0.04;0.2412996;0.0376
02.01.2024 23:00;1;2;23;0.346047217;0;0.00743;0.2025413;0
03.01.2024 00:00;1;3;0;0.233831217;0;-0.00008;0.1936044;0
03.01.2024 01:00;1;3;1;0.172966916;0;-0.00123;0.1922359;0
03.01.2024 02:00;1;3;2;0.15862821;0;-0.0013;0.1921526;0
03.01.2024 03:00;1;3;3;0.154416841;0;-0.00131;0.1921407;0
03.01.2024 04:00;1;3;4;0.156923608;0;-0.00131;0.1921407;0
03.01.2024 05:00;1;3;5;0.188007518;0;-0.00138;0.1920574;0
03.01.2024 06:00;1;3;6;0.361275246;0;0.00109;0.1949967;0
03.01.2024 07:00;1;3;7;0.51900102;0.012526239;0.04059;0.2420017;0.0383021
03.01.2024 08:00;1;3;8;0.535445411;0.248502976;0.05961;0.2646355;0.0609359
03.01.2024 09:00;1;3;9;0.494133892;0.402651791;0.06061;0.2658255;0.0621259
03.01.2024 10:00;1;3;10;0.466158373;0.48297259;0.057;0.2615296;0.05783
03.01.2024 11:00;1;3;11;0.47458111;0.465010736;0.05489;0.2590187;0.0553191
