PV,Battery,Inverter,PV_to_Battery,Battery_to_Inverter,PV_to_Inverter
2,2,2,1.0,1.0,1.0
2,2,3,1.0,0.67,0.67
2,2,4,1.0,0.5,0.5
2,3,2,0.67,1.5,1.0
2,3,3,0.67,1.0,0.67
2,3,4,0.67,0.75,0.5
2,4,2,0.5,2.0,1.0
2,4,3,0.5,1.33,0.67
2,4,4,0.5,1.0,0.5
3,2,2,1.5,1.0,1.5
3,2,3,1.5,0.67,1.0
3,2,4,1.5,0.5,0.75
3,3,2,1.0,1.5,1.5
3,3,3,1.0,1.0,1.0
3,3,4,1.0,0.75,0.75
3,3,5,1.0,0.6,0.6
3,3,6,1.0,0.5,0.5
3,4,2,0.75,2.0,1.5
3,4,3,0.75,1.33,1.0
3,4,4,0.75,1.0,0.75
3,4,5,0.75,0.8,0.6
3,4,6,0.75,0.67,0.5
3,5,3,0.6,1.67,1.0
3,5,4,0.6,1.25,0.75
3,5,5,0.6,1.0,0.6
3,5,6,0.6,0.83,0.5
3,6,3,0.5,2.0,1.0
3,6,4,0.5,1.5,0.75
3,6,5,0.5,1.2,0.6
3,6,6,0.5,1.0,0.5
4,2,2,2.0,1.0,2.0
4,2,3,2.0,0.67,1.33
4,2,4,2.0,0.5,1.0
4,3,2,1.33,1.5,2.0
4,3,3,1.33,1.0,1.33
4,3,4,1.33,0.75,1.0
4,3,5,1.33,0.6,0.8
4,3,6,1.33,0.5,0.67
4,4,2,1.0,2.0,2.0
4,4,3,1.0,1.33,1.33
4,4,4,1.0,1.0,1.0
4,4,5,1.0,0.8,0.8
4,4,6,1.0,0.67,0.67
4,4,7,1.0,0.57,0.57
4,4,8,1.0,0.5,0.5
4,5,3,0.8,1.67,1.33
4,5,4,0.8,1.25,1.0
4,5,5,0.8,1.0,0.8
4,5,6,0.8,0.83,0.67
4,5,7,0.8,0.71,0.57
4,5,8,0.8,0.62,0.5
4,6,3,0.67,2.0,1.33
4,6,4,0.67,1.5,1.0
4,6,5,0.67,1.2,0.8
4,6,6,0.67,1.0,0.67
4,6,7,0.67,0.86,0.57
4,6,8,0.67,0.75,0.5
4,7,4,0.57,1.75,1.0
4,7,5,0.57,1.4,0.8
4,7,6,0.57,1.17,0.67
4,7,7,0.57,1.0,0.57
4,7,8,0.57,0.88,0.5
4,8,4,0.5,2.0,1.0
4,8,5,0.5,1.6,0.8
4,8,6,0.5,1.33,0.67
4,8,7,0.5,1.14,0.57
4,8,8,0.5,1.0,0.5
5,3,3,1.67,1.0,1.67
5,3,4,1.67,0.75,1.25
5,3,5,1.67,0.6,1.0
5,3,6,1.67,0.5,0.83
5,4,3,1.25,1.33,1.67
5,4,4,1.25,1.0,1.25
5,4,5,1.25,0.8,1.0
5,4,6,1.25,0.67,0.83
5,4,7,1.25,0.57,0.71
5,4,8,1.25,0.5,0.62
5,5,3,1.0,1.67,1.67
5,5,4,1.0,1.25,1.25
5,5,5,1.0,1.0,1.0
5,5,6,1.0,0.83,0.83
5,5,7,1.0,0.71,0.71
5,5,8,1.0,0.62,0.62
5,5,9,1.0,0.56,0.56
5,5,10,1.0,0.5,0.5
5,6,3,0.83,2.0,1.67
5,6,4,0.83,1.5,1.25
5,6,5,0.83,1.2,1.0
5,6,6,0.83,1.0,0.83
5,6,7,0.83,0.86,0.71
5,6,8,0.83,0.75,0.62
5,6,9,0.83,0.67,0.56
5,6,10,0.83,0.6,0.5
5,7,4,0.71,1.75,1.25
5,7,5,0.71,1.4,1.0
5,7,6,0.71,1.17,0.83
5,7,7,0.71,1.0,0.71
5,7,8,0.71,0.88,0.62
5,7,9,0.71,0.78,0.56
5,7,10,0.71,0.7,0.5
5,8,4,0.62,2.0,1.25
5,8,5,0.62,1.6,1.0
5,8,6,0.62,1.33,0.83
5,8,7,0.62,1.14,0.71
5,8,8,0.62,1.0,0.62
5,8,9,0.62,0.89,0.56
5,8,10,0.62,0.8,0.5
5,9,5,0.56,1.8,1.0
5,9,6,0.56,1.5,0.83
5,9,7,0.56,1.29,0.71
5,9,8,0.56,1.12,0.62
5,9,9,0.56,1.0,0.56
5,9,10,0.56,0.9,0.5
5,10,5,0.5,2.0,1.0
5,10,6,0.5,1.67,0.83
5,10,7,0.5,1.43,0.71
5,10,8,0.5,1.25,0.62
5,10,9,0.5,1.11,0.56
