PV [kW],Battery [kWh],Inverter [kW],CAPEX [€],Self-Consumption [%],Self-Sufficiency [%],Earning for Discharge to Grid,Earning for PV Feed-in to Grid,Opportunity Cost of Not PV Feed-in to Grid,Savings from Avoided Grid Import Cost,Cost for Covering Load from Grid,Cost for Charging Battery from Grid,Total Earnings,Energy Cost,Fixed Annual Cost [€],Net Bill [€],Optimization Profit,Cycles,Grid Import [kWh],Grid Export [kWh],Opt. Profit / kWh Battery [€/kWh],Opt. Profit / kWp PV [€/kW],Opt. Profit / kW Inverter [€/kW],Opt. Profit / CAPEX,Cycles / CAPEX [cycle/€]
2.0,2.0,2.0,7275.0,74.19,54.63,0.44,31.6,21.82,167.66,426.3,10.3,32.04,436.61,160.2,-564.77,-418.92,264.99,1503.98,617.53,-209.461,-209.461,-209.461,-0.057584,0.036425
2.0,2.0,3.0,7465.0,74.19,54.63,0.44,31.6,21.82,167.66,426.3,10.3,32.04,436.61,160.2,-564.77,-418.92,264.99,1503.98,617.53,-209.461,-209.461,-139.6407,-0.056118,0.035498
2.0,2.0,4.0,7655.0,74.19,54.63,0.44,31.6,21.82,167.66,426.3,10.3,32.04,436.61,160.2,-564.77,-418.92,264.99,1503.98,617.53,-209.461,-209.461,-104.7305,-0.054725,0.034617
2.0,3.0,2.0,7625.0,81.79,60.18,1.62,23.39,30.03,223.55,370.41,14.18,25.01,384.59,160.2,-519.78,-326.26,243.3,1344.5,437.16,-108.7534,-163.1302,-163.1302,-0.042788,0.031908
2.0,3.0,3.0,7815.0,81.79,60.19,1.62,23.39,30.03,223.66,370.31,14.24,25.01,384.55,160.2,-519.74,-326.11,243.43,1344.55,437.16,-108.7046,-163.0569,-108.7046,-0.041729,0.031149
2.0,3.0,4.0,8005.0,81.79,60.19,1.62,23.39,30.03,223.66,370.31,14.24,25.01,384.55,160.2,-519.74,-326.11,243.43,1344.55,437.16,-108.7046,-163.0569,-81.5284,-0.040739,0.03041
2.0,4.0,2.0,7975.0,87.62,64.03,5.53,17.26,36.16,260.75,333.21,17.0,22.79,350.21,160.2,-487.62,-263.02,220.58,1234.31,311.15,-65.7547,-131.5093,-131.5093,-0.03298,0.027659
2.0,4.0,3.0,8165.0,87.62,64.08,6.04,17.26,36.16,261.15,332.82,17.47,23.3,350.29,160.2,-487.19,-262.2,221.22,1235.23,311.8,-65.5502,-131.1004,-87.4002,-0.032113,0.027094
2.0,4.0,4.0,8355.0,87.62,64.09,6.04,17.26,36.16,261.29,332.68,17.57,23.3,350.25,160.2,-487.15,-262.02,221.34,1235.28,311.8,-65.5053,-131.0106,-65.5053,-0.031361,0.026492
3.0,2.0,2.0,7405.0,54.98,59.99,0.45,84.86,27.12,187.01,374.89,6.28,85.31,381.17,160.2,-456.06,-296.17,300.2,1313.58,1614.72,-148.0842,-98.7228,-148.0842,-0.039996,0.040541
3.0,2.0,3.0,7595.0,54.98,59.99,0.45,84.86,27.12,187.01,374.89,6.28,85.31,381.17,160.2,-456.06,-296.17,300.2,1313.58,1614.72,-148.0842,-98.7228,-98.7228,-0.038995,0.039526
3.0,2.0,4.0,7785.0,54.98,59.99,0.45,84.86,27.12,187.01,374.89,6.28,85.31,381.17,160.2,-456.06,-296.17,300.2,1313.58,1614.72,-148.0842,-98.7228,-74.0421,-0.038043,0.038562
3.0,3.0,2.0,7755.0,61.92,67.13,1.63,73.4,38.58,257.9,304.0,8.44,75.03,312.45,160.2,-397.61,-178.29,285.81,1093.16,1367.3,-59.4312,-59.4312,-89.1467,-0.022991,0.036855
3.0,3.0,3.0,7945.0,61.92,67.13,1.63,73.4,38.58,257.92,303.98,8.45,75.03,312.44,160.2,-397.6,-178.27,285.83,1093.17,1367.3,-59.4229,-59.4229,-59.4229,-0.022438,0.035976
3.0,3.0,4.0,8135.0,61.92,67.13,1.63,73.4,38.58,257.92,303.98,8.45,75.03,312.44,160.2,-397.6,-178.27,285.83,1093.17,1367.3,-59.4229,-59.4229,-44.5671,-0.021914,0.035135
3.0,3.0,5.0,8325.0,61.92,67.13,1.63,73.4,38.58,257.92,303.98,8.45,75.03,312.44,160.2,-397.6,-178.27,285.83,1093.17,1367.3,-59.4229,-59.4229,-35.6537,-0.021414,0.034334
3.0,3.0,6.0,8515.0,61.92,67.13,1.63,73.4,38.58,257.92,303.98,8.45,75.03,312.44,160.2,-397.6,-178.27,285.83,1093.17,1367.3,-59.4229,-59.4229,-29.7114,-0.020936,0.033567
3.0,4.0,2.0,8105.0,68.31,72.77,8.39,62.45,49.52,311.34,250.56,9.7,70.84,260.26,160.2,-349.62,-87.8,272.83,917.35,1166.97,-21.9493,-29.2658,-43.8986,-0.010832,0.033662
3.0,4.0,3.0,8295.0,68.31,72.76,8.9,62.45,49.52,311.18,250.72,9.78,71.35,260.5,160.2,-349.35,-87.69,272.94,918.06,1167.63,-21.9228,-29.2305,-29.2305,-0.010572,0.032904
3.0,4.0,4.0,8485.0,68.31,72.77,8.9,62.45,49.52,311.3,250.6,9.87,71.35,260.47,160.2,-349.31,-87.54,273.06,918.11,1167.63,-21.884,-29.1786,-21.884,-0.010317,0.032182
3.0,4.0,5.0,8675.0,68.31,72.77,8.9,62.45,49.52,311.3,250.6,9.87,71.35,260.47,160.2,-349.31,-87.54,273.06,918.11,1167.63,-21.884,-29.1786,-17.5072,-0.010091,0.031477
3.0,4.0,6.0,8865.0,68.31,72.77,8.9,62.45,49.52,311.3,250.6,9.87,71.35,260.47,160.2,-349.31,-87.54,273.06,918.11,1167.63,-21.884,-29.1786,-14.5893,-0.009874,0.030802
3.0,5.0,3.0,8645.0,73.9,75.84,26.34,52.93,59.04,340.15,221.75,11.04,79.28,232.79,160.2,-313.71,-32.6,259.4,824.45,1052.57,-6.5191,-10.8651,-10.8651,-0.00377,0.030005
3.0,5.0,4.0,8835.0,73.9,75.84,26.74,52.93,59.04,340.03,221.87,11.11,79.68,232.98,160.2,-313.51,-32.52,259.48,825.01,1053.08,-6.5038,-10.8397,-8.1298,-0.003681,0.029369
3.0,5.0,5.0,9025.0,73.9,75.85,26.74,52.93,59.04,340.14,221.76,11.19,79.68,232.95,160.2,-313.48,-32.38,259.56,825.06,1053.08,-6.4759,-10.7932,-6.4759,-0.003588,0.02876
3.0,5.0,6.0,9215.0,73.9,75.85,26.74,52.93,59.04,340.14,221.76,11.19,79.68,232.95,160.2,-313.48,-32.38,259.56,825.06,1053.08,-6.4759,-10.7932,-5.3966,-0.003514,0.028167
3.0,6.0,3.0,8995.0,78.62,77.68,45.74,45.43,66.55,357.63,204.27,12.77,91.17,217.04,160.2,-286.07,5.01,245.56,773.18,982.92,0.8349,1.6698,1.6698,0.000557,0.0273
3.0,6.0,4.0,9185.0,78.62,77.66,46.32,45.43,66.55,357.38,204.52,12.77,91.75,217.28,160.2,-285.73,5.1,245.56,773.85,983.59,0.8505,1.7009,1.2757,0.000556,0.026735
3.0,6.0,5.0,9375.0,78.62,77.66,46.6,45.43,66.55,357.33,204.57,12.85,92.03,217.41,160.2,-285.58,5.2,245.64,774.27,983.96,0.867,1.734,1.0404,0.000555,0.026201
3.0,6.0,6.0,9565.0,78.62,77.67,46.6,45.43,66.55,357.43,204.47,12.92,92.03,217.39,160.2,-285.56,5.33,245.7,774.31,983.96,0.8877,1.7754,0.8877,0.000557,0.025688
4.0,2.0,2.0,7535.0,43.33,62.74,0.48,144.99,29.72,194.95,348.72,4.09,145.48,352.81,160.2,-367.53,-202.31,315.26,1216.97,2710.0,-101.1556,-50.5778,-101.1556,-0.02685,0.04184
4.0,2.0,3.0,7725.0,43.33,62.74,0.48,144.99,29.72,194.95,348.72,4.09,145.48,352.81,160.2,-367.53,-202.31,315.26,1216.97,2710.0,-101.1556,-50.5778,-67.437,-0.026189,0.040811
4.0,2.0,4.0,7915.0,43.33,62.74,0.48,144.99,29.72,194.95,348.72,4.09,145.48,352.81,160.2,-367.53,-202.31,315.26,1216.97,2710.0,-101.1556,-50.5778,-50.5778,-0.02556,0.039831
4.0,3.0,2.0,7885.0,49.28,70.78,1.67,131.14,43.57,274.35,269.31,5.61,132.81,274.92,160.2,-302.31,-71.52,306.61,964.4,2426.99,-23.8413,-17.8809,-35.7619,-0.009071,0.038885
4.0,3.0,3.0,8075.0,49.28,70.78,1.67,131.16,43.55,274.37,269.3,5.61,132.83,274.91,160.2,-302.28,-71.46,306.63,964.41,2426.99,-23.8212,-17.8659,-23.8212,-0.00885,0.037972
4.0,3.0,4.0,8265.0,49.28,70.78,1.67,131.16,43.55,274.37,269.3,5.61,132.83,274.91,160.2,-302.28,-71.46,306.63,964.41,2426.99,-23.8212,-17.8659,-17.8659,-0.008647,0.0371
4.0,3.0,5.0,8455.0,49.28,70.78,1.67,131.16,43.55,274.37,269.3,5.61,132.83,274.91,160.2,-302.28,-71.46,306.63,964.41,2426.99,-23.8212,-17.8659,-14.2927,-0.008452,0.036266
4.0,3.0,6.0,8645.0,49.28,70.78,1.67,131.16,43.55,274.37,269.3,5.61,132.83,274.91,160.2,-302.28,-71.46,306.63,964.41,2426.99,-23.8212,-17.8659,-11.9106,-0.008266,0.035469
4.0,4.0,2.0,8235.0,54.78,77.05,9.85,118.62,56.1,333.37,210.29,6.53,128.47,216.82,160.2,-248.55,28.73,296.45,766.56,2201.2,7.1819,7.1819,14.3637,0.003488,0.035998
4.0,4.0,3.0,8425.0,54.78,77.03,10.37,118.65,56.07,333.1,210.56,6.54,129.02,217.1,160.2,-248.28,28.76,296.46,767.25,2201.88,7.1892,7.1892,9.5857,0.003413,0.035188
4.0,4.0,4.0,8615.0,54.78,77.03,10.37,118.65,56.07,333.1,210.56,6.53,129.02,217.1,160.2,-248.27,28.76,296.46,767.25,2201.88,7.1901,7.1901,7.1901,0.003338,0.034412
4.0,4.0,5.0,8805.0,54.78,77.03,10.37,118.65,56.07,333.1,210.56,6.53,129.02,217.1,160.2,-248.27,28.76,296.46,767.25,2201.88,7.1901,7.1901,5.7521,0.003266,0.03367
4.0,4.0,6.0,8995.0,54.78,77.03,10.37,118.65,56.07,333.1,210.56,6.53,129.02,217.1,160.2,-248.27,28.76,296.46,767.25,2201.88,7.1901,7.1901,4.7934,0.003197,0.032958
4.0,4.0,7.0,9185.0,54.78,77.03,10.37,118.65,56.07,333.1,210.56,6.53,129.02,217.1,160.2,-248.27,28.76,296.46,767.25,2201.88,7.1901,7.1901,4.1086,0.003131,0.032277
