DateTime;EP_epex_MWh;EP_buy_MWh;EP_sell_MWh;EP_epex_kWh;EP_buy_kWh;EP_sell_kWh
01.01.2024 00:00;0.1;193.818;0;0.0001;0.193818;0
01.01.2024 01:00;0.01;193.7109;0;0.00001;0.1937109;0
01.01.2024 02:00;0;193.699;0;0;0.193699;0
01.01.2024 03:00;-0.01;193.6871;0;-0.00001;0.1936871;0
01.01.2024 04:00;-0.03;193.6633;0;-0.00003;0.1936633;0
01.01.2024 05:00;-0.02;193.6752;0;-0.00002;0.1936752;0
01.01.2024 06:00;-0.05;193.6395;0;-0.00005;0.1936395;0
01.01.2024 07:00;-0.02;193.6752;0;-0.00002;0.1936752;0
01.01.2024 08:00;0;193.699;0;0;0.193699;0
01.01.2024 09:00;0.04;193.7466;0;0.00004;0.1937466;0
01.01.2024 10:00;0.06;193.7704;0;0.00006;0.1937704;0
01.01.2024 11:00;0.54;194.3416;0;0.00054;0.1943416;0
01.01.2024 12:00;2.24;196.3646;0;0.00224;0.1963646;0
01.01.2024 13:00;1.96;196.0314;0;0.00196;0.1960314;0
01.01.2024 14:00;1.04;194.9366;0;0.00104;0.1949366;0
01.01.2024 15:00;3.66;198.0544;0;0.00366;0.1980544;0
01.01.2024 16:00;43.06;244.9404;41.2414;0.04306;0.2449404;0.0412414
01.01.2024 17:00;49.93;253.1157;49.4167;0.04993;0.2531157;0.0494167
01.01.2024 18:00;58;262.719;59.02;0.058;0.262719;0.05902
01.01.2024 19:00;54.25;258.2565;54.5575;0.05425;0.2582565;0.0545575
01.01.2024 20:00;48.01;250.8309;47.1319;0.04801;0.2508309;0.0471319
01.01.2024 21:00;42.95;244.8095;41.1105;0.04295;0.2448095;0.0411105
01.01.2024 22:00;47.09;249.7361;46.0371;0.04709;0.2497361;0.0460371
01.01.2024 23:00;35.55;236.0035;32.3045;0.03555;0.2360035;0.0323045
02.01.2024 00:00;30.59;230.1011;26.4021;0.03059;0.2301011;0.0264021
02.01.2024 01:00;20.07;217.5823;13.8833;0.02007;0.2175823;0.0138833
02.01.2024 02:00;31.03;230.6247;26.9257;0.03103;0.2306247;0.0269257
02.01.2024 03:00;18.39;215.5831;11.8841;0.01839;0.2155831;0.0118841
02.01.2024 04:00;11.08;206.8842;3.1852;0.01108;0.2068842;0.0031852
02.01.2024 05:00;13.78;210.0972;6.3982;0.01378;0.2100972;0.0063982
02.01.2024 06:00;47.63;250.3787;46.6797;0.04763;0.2503787;0.0466797
02.01.2024 07:00;58.1;262.838;59.139;0.0581;0.262838;0.059139
02.01.2024 08:00;65.67;271.8463;68.1473;0.06567;0.2718463;0.0681473
02.01.2024 09:00;64.73;270.7277;67.0287;0.06473;0.2707277;0.0670287
02.01.2024 10:00;68.98;275.7852;72.0862;0.06898;0.2757852;0.0720862
02.01.2024 11:00;73.54;281.2116;77.5126;0.07354;0.2812116;0.0775126
02.01.2024 12:00;78.16;286.7094;83.0104;0.07816;0.2867094;0.0830104
02.01.2024 13:00;78.87;287.5543;83.8553;0.07887;0.2875543;0.0838553
02.01.2024 14:00;79.24;287.9946;84.2956;0.07924;0.2879946;0.0842956
02.01.2024 15:00;79.96;288.8514;85.1524;0.07996;0.2888514;0.0851524
02.01.2024 16:00;83.46;293.0164;89.3174;0.08346;0.2930164;0.0893174
02.01.2024 17:00;80.92;289.9938;86.2948;0.08092;0.2899938;0.0862948
02.01.2024 18:00;74.95;282.8895;79.1905;0.07495;0.2828895;0.0791905
02.01.2024 19:00;63.18;268.8832;65.1842;0.06318;0.2688832;0.0651842
02.01.2024 20:00;57.11;261.6599;57.9609;0.05711;0.2616599;0.0579609
02.01.2024 21:00;46.89;249.4981;45.7991;0.04689;0.2494981;0.0457991
02.01.2024 22:00;40;241.299;37.6;0.04;0.241299;0.0376
02.01.2024 23:00;7.43;202.5407;0;0.00743;0.2025407;0
03.01.2024 00:00;-0.08;193.6038;0;-0.00008;0.1936038;0
03.01.2024 01:00;-1.23;192.2353;0;-0.00123;0.1922353;0
03.01.2024 02:00;-1.3;192.152;0;-0.0013;0.192152;0
03.01.2024 03:00;-1.31;192.1401;0;-0.00131;0.1921401;0
03.01.2024 04:00;-1.31;192.1401;0;-0.00131;0.1921401;0
03.01.2024 05:00;-1.38;192.0568;0;-0.00138;0.1920568;0
03.01.2024 06:00;1.09;194.9961;0;0.00109;0.1949961;0
03.01.2024 07:00;40.59;242.0011;38.3021;0.04059;0.2420011;0.0383021
03.01.2024 08:00;59.61;264.6349;60.9359;0.05961;0.2646349;0.0609359
03.01.2024 09:00;60.61;265.8249;62.1259;0.06061;0.2658249;0.0621259
03.01.2024 10:00;57;261.529;57.83;0.057;0.261529;0.05783
03.01.2024 11:00;54.89;259.0181;55.3191;0.05489;0.2590181;0.0553191
03.01.2024 12:00;53.89;257.8281;54.1291;0.05389;0.2578281;0.0541291
03.01.2024 13:00;54.42;258.4588;54.7598;0.05442;0.2584588;0.0547598
03.01.2024 14:00;60.86;266.1224;62.4234;0.06086;0.2661224;0.0624234
03.01.2024 15:00;67.18;273.6432;69.9442;0.06718;0.2736432;0.0699442
03.01.2024 16:00;73.59;281.2711;77.5721;0.07359;0.2812711;0.0775721
03.01.2024 17:00;82.28;291.6122;87.9132;0.08228;0.2916122;0.0879132
03.01.2024 18:00;82.97;292.4333;88.7343;0.08297;0.2924333;0.0887343
03.01.2024 19:00;79.03;287.7447;84.0457;0.07903;0.2877447;0.0840457
03.01.2024 20:00;73.23;280.8427;77.1437;0.07323;0.2808427;0.0771437
03.01.2024 21:00;67.41;273.9169;70.2179;0.06741;0.2739169;0.0702179
03.01.2024 22:00;65;271.049;67.35;0.065;0.271049;0.06735
03.01.2024 23:00;58.12;262.8618;59.1628;0.05812;0.2628618;0.0591628
04.01.2024 00:00;57.3;261.886;58.187;0.0573;0.261886;0.058187
04.01.2024 01:00;50.46;253.7464;50.0474;0.05046;0.2537464;0.0500474
04.01.2024 02:00;40;241.299;37.6;0.04;0.241299;0.0376
04.01.2024 03:00;25.48;224.0202;20.3212;0.02548;0.2240202;0.0203212
04.01.2024 04:00;35;235.349;31.65;0.035;0.235349;0.03165
04.01.2024 05:00;57.73;262.3977;58.6987;0.05773;0.2623977;0.0586987
04.01.2024 06:00;72.65;280.1525;76.4535;0.07265;0.2801525;0.0764535
04.01.2024 07:00;85.02;294.8728;91.1738;0.08502;0.2948728;0.0911738
04.01.2024 08:00;91.47;302.5483;98.8493;0.09147;0.3025483;0.0988493
04.01.2024 09:00;94.2;305.797;102.098;0.0942;0.305797;0.102098
04.01.2024 10:00;91.61;302.7149;99.0159;0.09161;0.3027149;0.0990159
04.01.2024 11:00;90.03;300.8347;97.1357;0.09003;0.3008347;0.0971357
04.01.2024 12:00;86.3;296.396;92.697;0.0863;0.296396;0.092697
04.01.2024 13:00;85.96;295.9914;92.2924;0.08596;0.2959914;0.0922924
04.01.2024 14:00;92.11;303.3099;99.6109;0.09211;0.3033099;0.0996109
04.01.2024 15:00;98.62;311.0568;107.3578;0.09862;0.3110568;0.1073578
04.01.2024 16:00;105.73;319.5177;115.8187;0.10573;0.3195177;0.1158187
04.01.2024 17:00;133.23;352.2427;148.5437;0.13323;0.3522427;0.1485437
04.01.2024 18:00;144.65;365.8325;162.1335;0.14465;0.3658325;0.1621335
04.01.2024 19:00;125;342.449;138.75;0.125;0.342449;0.13875
04.01.2024 20:00;103.59;316.9711;113.2721;0.10359;0.3169711;0.1132721
04.01.2024 21:00;100.01;312.7109;109.0119;0.10001;0.3127109;0.1090119
04.01.2024 22:00;94.86;306.5824;102.8834;0.09486;0.3065824;0.1028834
04.01.2024 23:00;88.83;299.4067;95.7077;0.08883;0.2994067;0.0957077
05.01.2024 00:00;86.08;296.1342;92.4352;0.08608;0.2961342;0.0924352
05.01.2024 01:00;80.51;289.5059;85.8069;0.08051;0.2895059;0.0858069
05.01.2024 02:00;77.01;285.3409;81.6419;0.07701;0.2853409;0.0816419
05.01.2024 03:00;73.21;280.8189;77.1199;0.07321;0.2808189;0.0771199
05.01.2024 04:00;74.05;281.8185;78.1195;0.07405;0.2818185;0.0781195
