DateTime;P_Load_kWh;P_Load_MWh;MODELLING_ERA5_KWH;P_PV_1_kWh;P_PV_8_kWh;P_PV_8_MWh
01.01.2024 00:00;50688.65328;50.68865328;0;0;0;0
01.01.2024 01:00;37494.82281;37.49482281;0;0;0;0
01.01.2024 02:00;34386.55623;34.38655623;0;0;0;0
01.01.2024 03:00;33473.63896;33.47363896;0;0;0;0
01.01.2024 04:00;34017.0421;34.0170421;0;0;0;0
01.01.2024 05:00;40755.24209;40.75524209;0;0;0;0
01.01.2024 06:00;78315.27342;78.31527342;0;0;0;0
01.01.2024 07:00;112506.2045;112.5062045;0;0;0;0
01.01.2024 08:00;116070.9296;116.0709296;0.019605872;4262.532237;34100.2579;34.1002579
01.01.2024 09:00;107115.6445;107.1156445;0.023625211;5136.380749;41091.04599;41.09104599
01.01.2024 10:00;101051.2644;101.0512644;0.13083565;28445.1095;227560.876;227.560876
01.01.2024 11:00;102877.0992;102.8770992;0.172650243;37536.06198;300288.4958;300.2884958
01.01.2024 12:00;113636.4832;113.6364832;0.159256164;34624.04187;276992.335;276.992335
01.01.2024 13:00;112571.4128;112.5714128;0.106035651;23053.31692;184426.5354;184.4265354
01.01.2024 14:00;100290.4998;100.2904998;0.050802111;11044.93775;88359.50204;88.35950204
01.01.2024 15:00;91139.58954;91.13958954;0;0;0;0
01.01.2024 16:00;91487.36757;91.48736757;0;0;0;0
01.01.2024 17:00;111854.1207;111.8541207;0;0;0;0
01.01.2024 18:00;144480.0504;144.4800504;0;0;0;0
01.01.2024 19:00;162629.7184;162.6297184;0;0;0;0
01.01.2024 20:00;146262.413;146.262413;0;0;0;0
01.01.2024 21:00;122570.0323;122.5700323;0;0;0;0
01.01.2024 22:00;101442.5146;101.4425146;0;0;0;0
01.01.2024 23:00;75120.06244;75.12006244;0;0;0;0
02.01.2024 00:00;50765.85288;50.76585288;0;0;0;0
02.01.2024 01:00;37551.92798;37.55192798;0;0;0;0
02.01.2024 02:00;34438.92771;34.43892771;0;0;0;0
02.01.2024 03:00;33524.61988;33.52461988;0;0;0;0
02.01.2024 04:00;34068.85071;34.06885071;0;0;0;0
02.01.2024 05:00;40817.31315;40.81731315;0;0;0;0
02.01.2024 06:00;78434.54879;78.43454879;0;0;0;0
02.01.2024 07:00;112677.5535;112.6775535;0;0;0;0
02.01.2024 08:00;116247.7078;116.2477078;0.004847313;1053.859167;8430.873333;8.430873333
02.01.2024 09:00;107278.7836;107.2787836;0.010002056;2174.556997;17396.45598;17.39645598
02.01.2024 10:00;101205.1673;101.2051673;0.029762132;6470.61488;51764.91904;51.76491904
02.01.2024 11:00;103033.7829;103.0337829;0.014901703;3239.794151;25918.35321;25.91835321
02.01.2024 12:00;113809.5537;113.8095537;0.012375285;2690.523087;21524.1847;21.5241847
02.01.2024 13:00;112742.8612;112.7428612;0.003914243;850.9994849;6807.995879;6.807995879
02.01.2024 14:00;100443.2441;100.4432441;0;0;0;0
02.01.2024 15:00;91278.39668;91.27839668;0;0;0;0
02.01.2024 16:00;91626.70454;91.62670454;0;0;0;0
02.01.2024 17:00;112024.4765;112.0244765;0;0;0;0
02.01.2024 18:00;144700.0962;144.7000962;0;0;0;0
02.01.2024 19:00;162877.4062;162.8774062;0;0;0;0
02.01.2024 20:00;146485.1734;146.4851734;0;0;0;0
02.01.2024 21:00;122756.7086;122.7567086;0;0;0;0
02.01.2024 22:00;101597.0134;101.5970134;0;0;0;0
